head,relation,tail,head_type,tail_type
山石,Symbolizes,稳固,Element,Meaning
楼阁,Symbolizes,尊贵,Element,Meaning
仕女,Symbolizes,温婉雅致,Element,Meaning
仕女,Symbolizes,祥和,Element,Meaning
兔,Symbolizes,吉祥,Element,Meaning
兔,Symbolizes,多子多福,Element,Meaning
八卦符号,Symbolizes,天地运行,Element,Meaning
八卦符号,Symbolizes,万象之理,Element,Meaning
阴阳鱼,Symbolizes,和合,Element,Meaning
阴阳鱼,Symbolizes,均衡,Element,Meaning
凤,Symbolizes,祥瑞,Element,Meaning
凤,Symbolizes,华贵,Element,Meaning
云,Symbolizes,升腾,Element,Meaning
喜字字符,Symbolizes,喜庆,Element,Meaning
喜字字符,Symbolizes,吉祥,Element,Meaning
枝叶,Symbolizes,生机盎然,Element,Meaning
如意头,Symbolizes,顺遂,Element,Meaning
如意头,Symbolizes,吉庆,Element,Meaning
卷草,Symbolizes,绵延,Element,Meaning
婴儿,Symbolizes,多子多福,Element,Meaning
婴儿,Symbolizes,天真,Element,Meaning
孔雀,Symbolizes,华美,Element,Meaning
孔雀,Symbolizes,吉祥,Element,Meaning
枝叶,Symbolizes,繁茂,Element,Meaning
莲花,Symbolizes,高洁,Element,Meaning
卷草,Symbolizes,连绵不断,Element,Meaning
海水,Symbolizes,绵延,Element,Meaning
海水,Symbolizes,连绵不断,Element,Meaning
忍冬,Symbolizes,长久,Element,Meaning
忍冬,Symbolizes,恒常,Element,Meaning
枝叶,Symbolizes,生机,Element,Meaning
月季,Symbolizes,四季长春,Element,Meaning
月季,Symbolizes,吉庆,Element,Meaning
松鼠,Symbolizes,敏捷,Element,Meaning
松鼠,Symbolizes,多子多福,Element,Meaning
葡萄,Symbolizes,连绵富贵,Element,Meaning
桃,Symbolizes,长寿,Element,Meaning
桃,Symbolizes,吉祥,Element,Meaning
梅,Symbolizes,高洁,Element,Meaning
梅,Symbolizes,坚贞,Element,Meaning
梵字符号,Symbolizes,祈福,Element,Meaning
梵字符号,Symbolizes,清净,Element,Meaning
海水,Symbolizes,磅礴,Element,Meaning
灵芝,Symbolizes,长寿,Element,Meaning
灵芝,Symbolizes,祥瑞,Element,Meaning
牡丹,Symbolizes,富贵,Element,Meaning
牡丹,Symbolizes,华丽,Element,Meaning
狮子,Symbolizes,威严,Element,Meaning
狮子,Symbolizes,护佑,Element,Meaning
璎珞,Symbolizes,华贵,Element,Meaning
璎珞,Symbolizes,清净,Element,Meaning
石榴,Symbolizes,多子多福,Element,Meaning
石榴,Symbolizes,富贵,Element,Meaning
竹,Symbolizes,坚韧,Element,Meaning
竹,Symbolizes,清廉,Element,Meaning
枝叶,Symbolizes,连绵不断,Element,Meaning
羊,Symbolizes,祥瑞,Element,Meaning
羊,Symbolizes,温顺,Element,Meaning
牡丹,Symbolizes,雍容,Element,Meaning
莲花,Symbolizes,清净,Element,Meaning
莲花,Symbolizes,护佑,Element,Meaning
蕉叶,Symbolizes,延展,Element,Meaning
蕉叶,Symbolizes,清润,Element,Meaning
蝙蝠,Symbolizes,福祉,Element,Meaning
蝙蝠,Symbolizes,吉庆,Element,Meaning
蝴蝶,Symbolizes,自由,Element,Meaning
蝴蝶,Symbolizes,喜庆,Element,Meaning
高士,Symbolizes,清雅高逸,Element,Meaning
高士,Symbolizes,超然,Element,Meaning
松树,Symbolizes,坚贞,Element,Meaning
鱼,Symbolizes,自由,Element,Meaning
鱼,Symbolizes,丰足,Element,Meaning
水草,Symbolizes,生机盎然,Element,Meaning
鸳鸯,Symbolizes,伉俪和合,Element,Meaning
鸳鸯,Symbolizes,忠贞,Element,Meaning
鹤,Symbolizes,长寿,Element,Meaning
鹤,Symbolizes,高洁,Element,Meaning
云,Symbolizes,祥瑞,Element,Meaning
鹿,Symbolizes,禄位,Element,Meaning
鹿,Symbolizes,祥瑞,Element,Meaning
麒麟,Symbolizes,祥瑞,Element,Meaning
麒麟,Symbolizes,护佑,Element,Meaning
凤,Symbolizes,和合,Element,Meaning
凤,Symbolizes,吉庆,Element,Meaning
云,Symbolizes,吉祥,Element,Meaning
山石,Fits_Layout,开光,Element,Structure
山石,Fits_Layout,通景式,Element,Structure
楼阁,Fits_Layout,开光,Element,Structure
楼阁,Fits_Layout,通景式,Element,Structure
仕女,Fits_Layout,单幅式,Element,Structure
仕女,Fits_Layout,对称式,Element,Structure
兔,Fits_Layout,团花式,Element,Structure
兔,Fits_Layout,留白,Element,Structure
八卦符号,Fits_Layout,环绕式,Element,Structure
八卦符号,Fits_Layout,对称式,Element,Structure
阴阳鱼,Fits_Layout,环绕式,Element,Structure
阴阳鱼,Fits_Layout,对称式,Element,Structure
凤,Fits_Layout,满铺,Element,Structure
凤,Fits_Layout,旋转式,Element,Structure
云,Fits_Layout,满铺,Element,Structure
云,Fits_Layout,旋转式,Element,Structure
喜字字符,Fits_Layout,对称式,Element,Structure
喜字字符,Fits_Layout,满铺,Element,Structure
枝叶,Fits_Layout,团花式,Element,Structure
枝叶,Fits_Layout,四方连续,Element,Structure
如意头,Fits_Layout,二方连续,Element,Structure
如意头,Fits_Layout,曲线式,Element,Structure
卷草,Fits_Layout,二方连续,Element,Structure
卷草,Fits_Layout,曲线式,Element,Structure
婴儿,Fits_Layout,通景式,Element,Structure
婴儿,Fits_Layout,开光,Element,Structure
孔雀,Fits_Layout,对称式,Element,Structure
孔雀,Fits_Layout,开光,Element,Structure
枝叶,Fits_Layout,对称式,Element,Structure
枝叶,Fits_Layout,开光,Element,Structure
莲花,Fits_Layout,对称式,Element,Structure
莲花,Fits_Layout,团花式,Element,Structure
卷草,Fits_Layout,对称式,Element,Structure
卷草,Fits_Layout,团花式,Element,Structure
山石,Fits_Layout,散点式,Element,Structure
海水,Fits_Layout,散点式,Element,Structure
海水,Fits_Layout,通景式,Element,Structure
山石,Fits_Layout,重叠式,Element,Structure
海水,Fits_Layout,重叠式,Element,Structure
忍冬,Fits_Layout,二方连续,Element,Structure
忍冬,Fits_Layout,曲线式,Element,Structure
枝叶,Fits_Layout,折枝式,Element,Structure
枝叶,Fits_Layout,留白,Element,Structure
月季,Fits_Layout,放射状,Element,Structure
月季,Fits_Layout,对称式,Element,Structure
松鼠,Fits_Layout,通景式,Element,Structure
松鼠,Fits_Layout,曲线式,Element,Structure
葡萄,Fits_Layout,通景式,Element,Structure
葡萄,Fits_Layout,曲线式,Element,Structure
桃,Fits_Layout,对称式,Element,Structure
桃,Fits_Layout,满铺,Element,Structure
枝叶,Fits_Layout,满铺,Element,Structure
梅,Fits_Layout,开光,Element,Structure
梅,Fits_Layout,对称式,Element,Structure
梵字符号,Fits_Layout,环绕式,Element,Structure
梵字符号,Fits_Layout,二方连续,Element,Structure
海水,Fits_Layout,二方连续,Element,Structure
灵芝,Fits_Layout,对称式,Element,Structure
灵芝,Fits_Layout,散点式,Element,Structure
牡丹,Fits_Layout,满铺,Element,Structure
牡丹,Fits_Layout,对称式,Element,Structure
狮子,Fits_Layout,对称式,Element,Structure
狮子,Fits_Layout,满铺,Element,Structure
云,Fits_Layout,对称式,Element,Structure
璎珞,Fits_Layout,环绕式,Element,Structure
