"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","448.7585","34","369","0.8542","0.7834","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png","298.0996","28","234","0.7222","0.6207","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","255.6961","28","184","0.7863","0.6996","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","385.0581","26","317","0.7108","0.673","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","306.599","32","225","0.6579","0.8555","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png","244.8871","28","191","0.6678","0.5066","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","600.5507","32","500","0.7812","1.0616","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","480.3019","26","355","0.8659","1.3498","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png","334.5166","30","265","0.6642","0.7029","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn04_sina_sheet01_row01_camellia.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\090__strict2_B__B22_d01451691_p29_i00_928x152.jpeg","105.6556","32","81","0.4793","0.1884","yes"
