"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png","31.8313","34","55","0.3846","0.1451","0.1761","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\019__local_B__Snipaste_2026-04-18_15-55-54.png","28.9831","32","4","0.0702","0.002","0.2318","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A02__candidate_068__D01448673_tang_ceiling_pattern_p144_i01_x2016_448x108.png","27.7958","30","13","0.2955","0.0108","0.2023","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","32.5477","28","85","0.3148","0.3346","0.159","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","31.6157","32","225","0.6579","0.8555","0.1506","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn02_jicai_crossed_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\076__strict2_B__B08_d625113_p58_i01_369x65.png","29.6149","40","59","0.3856","0.1073","0.1603","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\072__strict2_B__B04_d625113_p25_i00_696x81.png","40.2045","22","9","0.3462","0.0062","0.2996","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\046__strict2_A__A07_d625113_p32_i01_397x109.png","35.2449","26","19","0.4318","0.0543","0.2423","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\067__strict2_A__A30_d01451691_p18_i00_617x180.jpeg","34.1765","40","10","0.1587","0.0113","0.2582","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn04_sina_sheet01_row01_camellia.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","26.8131","28","61","0.8841","0.0796","0.138","no"
