"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_001__sina_01_sheet01_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","16.4716","26","0","0.0","0.0","0.1373","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_001__sina_01_sheet01_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R04__meyer_04_p95_fig1_natural_flower_vine.png","13.7373","28","3","0.0","0.0","0.1117","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_002__sina_02_sheet01_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","21.3499","32","0","0.0","0.0","0.1779","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_002__sina_02_sheet01_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","21.1986","26","4","1.0","0.0109","0.1525","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_003__sina_03_sheet01_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R09__meyer_11_p96_fig7_grape_leaf_interlace.png","15.056","26","5","0.5556","0.0104","0.1129","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_003__sina_03_sheet01_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A15__candidate_160__D01448673_tang_ceiling_pattern_p234_i03_x3006_356x79.png","14.1176","30","1","0.0","0.0","0.1167","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_004__sina_04_sheet01_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","16.4985","30","0","0.0","0.0","0.1375","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_004__sina_04_sheet01_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A29__candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png","13.7078","30","4","0.3077","0.011","0.1066","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_005__sina_05_sheet02_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","13.7766","38","0","0.0","0.0","0.1148","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_005__sina_05_sheet02_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A14__candidate_159__D01448673_tang_ceiling_pattern_p234_i02_x3005_516x86.png","9.9302","24","2","0.0","0.0","0.0814","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_006__sina_06_sheet02_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg","10.0604","30","0","0.0","0.0","0.0838","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_006__sina_06_sheet02_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R04__meyer_04_p95_fig1_natural_flower_vine.png","9.1628","34","4","1.0","0.015","0.0659","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_007__sina_07_sheet02_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A18__candidate_163__D01448673_tang_ceiling_pattern_p236_i03_x3027_375x86.png","12.1157","36","3","0.0","0.0","0.0985","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_007__sina_07_sheet02_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","12.0282","34","0","0.0","0.0","0.1002","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_008__sina_08_sheet02_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\033__strict1_B__B03_traditional_art_mogao310_flower_vine.png","12.5495","32","2","0.0","0.0","0.1029","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_008__sina_08_sheet02_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","12.2199","26","0","0.0","0.0","0.1018","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_009__sina_09_sheet03_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\045__strict2_A__A06_d625113_p32_i00_397x121.png","18.9573","34","0","0.0","0.0","0.158","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_009__sina_09_sheet03_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","16.3607","26","0","0.0","0.0","0.1363","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_010__sina_10_sheet03_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-17-22.png","211.0609","16","177","0.8045","0.6146","0.9953","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_010__sina_10_sheet03_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","17.5012","30","4","1.0","0.0139","0.1259","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_011__sina_11_sheet03_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-17-49.png","211.6522","16","270","0.9574","0.7781","0.9874","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_011__sina_11_sheet03_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","35.4031","24","4","1.0","0.0115","0.2547","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_012__sina_12_sheet03_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","27.2917","32","3","0.0","0.0","0.2219","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_012__sina_12_sheet03_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","26.9853","36","1","0.0","0.0","0.223","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_013__sina_13_sheet03_row05.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","28.5958","36","5","0.5","0.0097","0.2158","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_013__sina_13_sheet03_row05.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","25.2336","26","0","0.0","0.0","0.2103","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_014__sina_14_sheet04_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png","23.8571","30","3","0.0","0.0","0.194","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_014__sina_14_sheet04_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-19-07.png","20.9965","26","4","1.0","0.0072","0.1511","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_015__sina_15_sheet04_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","19.635","28","0","0.0","0.0","0.1636","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_015__sina_15_sheet04_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","19.5591","30","3","0.0","0.0","0.159","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_016__sina_16_sheet04_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-18-39.png","37.4735","20","146","0.8439","0.7337","0.1762","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_016__sina_16_sheet04_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","24.1894","18","2","0.0","0.0","0.1983","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_017__sina_17_sheet04_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-18-45.png","127.5047","16","230","0.9787","0.8846","0.5939","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_017__sina_17_sheet04_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","23.2744","26","1","0.0","0.0","0.1924","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_018__sina_18_sheet05_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\037__strict1_B__B07_sohu_simple_scroll.jpeg","9.0637","26","1","0.0","0.0","0.0749","no"
