"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_001__sina_01_sheet01_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn04_sina_sheet01_row01_camellia.png","12.1893","24","4","1.0","0.0128","0.0877","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_001__sina_01_sheet01_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","12.0948","32","4","1.0","0.0128","0.087","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_001__sina_01_sheet01_row01.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","11.1698","24","5","0.5","0.016","0.0843","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_002__sina_02_sheet01_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","158.0377","12","189","0.913","0.5136","0.7395","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_002__sina_02_sheet01_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","18.9051","26","4","1.0","0.0109","0.136","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_002__sina_02_sheet01_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","18.1223","28","5","0.5","0.0136","0.1368","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_003__sina_03_sheet01_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","11.9457","28","5","0.7143","0.0104","0.088","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_003__sina_03_sheet01_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","9.9005","32","4","1.0","0.0083","0.0712","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_003__sina_03_sheet01_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","8.7572","26","0","0.0","0.0","0.073","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_004__sina_04_sheet01_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn08_sina_sheet04_row02_lotus.png","8.9399","28","9","0.2812","0.0249","0.0671","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_004__sina_04_sheet01_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","7.71","26","3","0.0","0.0","0.0627","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_004__sina_04_sheet01_row04.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","7.5512","28","4","0.2857","0.011","0.0589","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_005__sina_05_sheet02_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","7.9924","30","2","0.0","0.0","0.0655","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_005__sina_05_sheet02_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","7.8845","34","4","1.0","0.0094","0.0567","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_005__sina_05_sheet02_row01.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","7.6719","32","0","0.0","0.0","0.0639","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_006__sina_06_sheet02_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn10_baidu_grape_s_vine.png","8.3419","24","2","0.0","0.0","0.0684","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_006__sina_06_sheet02_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn11_baidu_narrow_leafy_stem.png","7.3328","28","1","0.0","0.0","0.0606","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_006__sina_06_sheet02_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","4.9828","24","2","0.0","0.0","0.0408","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_007__sina_07_sheet02_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","8.5756","26","3","0.0","0.0","0.0697","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_007__sina_07_sheet02_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn12_nipic_honeysuckle_sweep.png","8.0351","38","0","0.0","0.0","0.067","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_007__sina_07_sheet02_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","7.7577","26","0","0.0","0.0","0.0646","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_008__sina_08_sheet02_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","11.1161","24","4","0.6667","0.0146","0.083","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_008__sina_08_sheet02_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","9.36","28","2","0.0","0.0","0.0767","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_008__sina_08_sheet02_row04.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","9.1418","32","2","0.0","0.0","0.0749","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_009__sina_09_sheet03_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","13.8751","30","4","1.0","0.0076","0.0998","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_009__sina_09_sheet03_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","12.1404","32","0","0.0","0.0","0.1012","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_009__sina_09_sheet03_row01.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","12.0067","28","4","0.5714","0.0076","0.0906","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_010__sina_10_sheet03_row02.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn06_sina_sheet03_row02_apricot.png","137.8705","18","23","0.3538","0.0799","0.9296","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_010__sina_10_sheet03_row02.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","15.5464","24","4","1.0","0.0139","0.1118","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_010__sina_10_sheet03_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","11.1555","24","4","0.3636","0.0139","0.0862","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_011__sina_11_sheet03_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn07_sina_sheet03_row03_chrysanthemum.png","112.6994","10","22","0.3056","0.0634","0.7552","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_011__sina_11_sheet03_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","21.2732","30","7","0.4375","0.0202","0.1593","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_011__sina_11_sheet03_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn05_sina_sheet01_row03_camellia.png","19.3351","28","4","1.0","0.0115","0.1391","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_012__sina_12_sheet03_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","20.7203","32","4","0.4444","0.0061","0.1586","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_012__sina_12_sheet03_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn13_nipic_honeysuckle_spiral.png","19.6645","28","0","0.0","0.0","0.1639","no"
