"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png","14.6723","34","55","0.3846","0.1451","0.0812","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","12.1338","34","130","0.6952","0.3385","0.0577","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","12.0706","30","42","0.4941","0.0343","0.0713","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\012__local_A__Snipaste_2026-04-18_15-55-38.png","11.9677","32","55","0.5729","0.023","0.0652","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A29__candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png","11.7086","26","31","0.2719","0.0684","0.0755","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R09__meyer_11_p96_fig7_grape_leaf_interlace.png","12.7454","30","57","0.4385","0.0422","0.0694","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\037__strict1_B__B07_sohu_simple_scroll.jpeg","12.1466","34","11","0.2037","0.0044","0.0906","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A29__candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png","11.9677","34","86","0.4322","0.1898","0.058","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","11.5755","28","85","0.3148","0.3346","0.0565","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\006__local_A__Snipaste_2026-04-13_15-54-15.png","10.9385","40","67","0.4467","0.0616","0.0565","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU003.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R09__meyer_11_p96_fig7_grape_leaf_interlace.png","12.7824","28","17","0.1771","0.0126","0.0915","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU003.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png","12.5186","34","48","0.2981","0.1266","0.0726","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU003.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","11.1701","36","46","0.3932","0.0376","0.065","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU003.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R03__meyer_03_p94_fig12_alternating_leaf_flower_vine.png","10.7347","34","16","0.2857","0.0153","0.0765","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU003.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","9.7317","32","500","0.7812","1.0616","0.046","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","27.2681","32","61","0.6421","0.1589","0.143","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png","19.4323","30","30","0.4","0.0156","0.1246","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-19-07.png","19.2494","30","24","0.2609","0.0416","0.1301","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg","18.3989","30","41","0.4767","0.0854","0.1094","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","17.7565","30","16","0.4324","0.0077","0.1246","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","28.4716","28","183","0.7469","0.3885","0.1348","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\017__local_B__Snipaste_2026-04-18_15-52-49.png","26.6308","26","65","0.4037","0.0461","0.1394","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\011__local_A__Snipaste_2026-04-18_15-55-07.png","22.5782","26","86","0.6143","0.073","0.1079","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","20.3946","36","31","0.2743","0.022","0.1315","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","20.1877","28","17","0.3953","0.0171","0.1412","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","34.7118","24","5","0.5","0.005","0.262","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","27.657","28","3","0.0","0.0","0.2249","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","27.5509","36","3","0.0","0.0","0.224","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","25.6222","32","6","0.5455","0.0124","0.191","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A28__candidate_194__D01448673_tang_ceiling_pattern_p245_i05_x3133_303x102.png","24.707","28","2","0.0","0.0","0.2025","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU007.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","27.8321","30","3","0.0","0.0","0.2263","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU007.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R04__meyer_04_p95_fig1_natural_flower_vine.png","22.7229","32","4","0.5714","0.0032","0.1714","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU007.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","22.0202","28","6","0.5","0.0156","0.1649","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU007.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","21.6863","24","1","0.0","0.0","0.1792","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU007.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A10__candidate_149__D01448673_tang_ceiling_pattern_p230_i02_x2960_491x181.png","21.6837","28","4","0.6667","0.0034","0.1618","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU008.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","27.3081","26","0","0.0","0.0","0.2276","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU008.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","27.3025","26","2","0.0","0.0","0.2238","no"
