case_id,matrix_id,rq_use,prototype_id,backbone_variant,density_level,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,backbone_seed_source,flower_seed_source,branch_seed_source,unit_seed_source,allocation_rule
A001,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,simple,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A002,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,medium,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A003,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,rich,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A004,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,simple,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A005,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,medium,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A006,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,rich,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A007,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,simple,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A008,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,medium,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A009,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,rich,1,200000,3637826449,690874662,3848763323,2731574336,200000,200000,200000,200000,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A010,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,simple,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A011,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,medium,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A012,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,rich,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A013,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,simple,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A014,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,medium,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A015,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,rich,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A016,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,simple,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A017,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,medium,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A018,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,rich,2,200001,2099076444,668946205,157358250,1522627173,200001,200001,200001,200001,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A019,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,simple,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A020,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,medium,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A021,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,rich,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A022,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,simple,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A023,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,medium,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A024,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,rich,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A025,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,simple,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A026,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,medium,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A027,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,swept,rich,3,200002,1586078355,2795483619,3834742724,1346423801,200002,200002,200002,200002,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A028,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,simple,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A029,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,medium,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A030,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,expanded,rich,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A031,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,simple,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A032,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,medium,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
A033,A,RQ1;RQ3_BACKBONE;RQ3_DENSITY;RQ4_GENERATED,proto_sw_1_1,compact,rich,4,200003,2755701457,200490488,587951499,654989446,200003,200003,200003,200003,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate
