case_id,prototype_id,backbone_variant,density_level,production_seed,generation_success,violation_codes,case_dir
A016,proto_sw_1_1,swept,simple,200001,1,ordinary_backbone_nonroot_crossing_count,raw_cases/A016
A195,proto_sw_2_3,compact,rich,200001,1,flower_region_intrusion_curve_count,raw_cases/A195
A212,proto_sw_2_3,compact,medium,200003,1,flower_region_intrusion_curve_count,raw_cases/A212
A214,proto_sw_2_3,swept,simple,200003,1,flower_region_intrusion_curve_count,raw_cases/A214
A215,proto_sw_2_3,swept,medium,200003,1,flower_region_intrusion_curve_count,raw_cases/A215
A221,proto_sw_2_3,compact,medium,200004,1,flower_region_intrusion_curve_count,raw_cases/A221
A222,proto_sw_2_3,compact,rich,200004,1,flower_region_intrusion_curve_count,raw_cases/A222
A310,proto_sw_3_1,compact,simple,200004,1,internal_unit_crossing_count,raw_cases/A310
A312,proto_sw_3_1,compact,rich,200004,1,internal_unit_crossing_count,raw_cases/A312
A392,proto_sw_3_2,compact,medium,200003,1,internal_unit_crossing_count,raw_cases/A392
A394,proto_sw_3_2,swept,simple,200003,1,internal_unit_crossing_count,raw_cases/A394
A414,proto_sw_3_2,swept,rich,200005,1,internal_unit_crossing_count,raw_cases/A414
A433,proto_sw_3_2,expanded,simple,200008,1,internal_unit_crossing_count,raw_cases/A433
A442,proto_sw_3_2,expanded,simple,200009,1,ordinary_backbone_nonroot_crossing_count,raw_cases/A442
