case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error
A001,A,Ours,proto_sw_1_1,expanded,simple,1,200000,1,,,4,3,1,4,9.18307569999888,1.4163807000004454,3.519416100003582,0.010356200000387616,0.042424300001584925,14.188872499998979,980,100,0,408,177,300000,0,raw_cases/A001,1,0,0,0,0,0,0.14621253416153443,0.027768053,0,0,0.0,0.9999999999999999,0,0.0004438297237636294,0.0004394570837388742,0,0,0.14621253416153443,0.037682454568030946,0.024063270645056214,4,1,4,1.0548725133160932,0.21097450266321865,0.09713314074805668,0.9787655519999999,0.012672468932748537,0.5,0.5,0.75,0.25,0.0,0.224188453,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.13636363675,0.181818182,0.29545454525000003,0.545454545,0.454545455,0.5,
A002,A,Ours,proto_sw_1_1,expanded,medium,1,200000,1,,,5,3,3,5,9.109344599997712,1.8028908999986015,2.388515099999495,0.014871100000164006,0.04510469999877387,13.37776269999813,980,125,196,337,1057,300000,0,raw_cases/A002,1,0,0,0,0,0,0.06225744923723244,0.027768053,0,0,0.0,0.9999999999999999,0,0.006515130244890746,0.0035849367856586535,0,0,0.062075140618651534,0.21664312790999735,0.09032089875350093,5,3,5,1.2637073363658673,0.1579634170457334,0.07035823070614428,0.71342179,0.010782163742690058,0.4,0.6,0.6,0.2,0.2,0.386757764,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.121212121,0.15151515100000001,0.151515152,0.484848485,0.515151515,0.2,
A003,A,Ours,proto_sw_1_1,expanded,rich,1,200000,1,,,6,4,2,6,9.088044899999659,2.139361599998665,2.5106642999999167,0.013753300001553725,0.04349089999959688,13.811052299999574,980,150,0,358,353,300000,0,raw_cases/A003,1,0,0,0,0,0,0.14335287828573584,0.027768053,0,0,0.0,0.9999999999999999,0,0.0039815892150729245,0.0014841268794531,0,0,0.14335287828573584,0.4598531119458663,0.13527355188209392,6,2,6,1.4242261306934625,0.17802826633668278,0.06812900258506906,0.842992765,0.017166940789473683,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.703446936,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.121212121,0.121212121,0.12121212174999998,0.393939394,0.606060606,0.16666666666666666,
A004,A,Ours,proto_sw_1_1,compact,simple,1,200000,1,,,4,3,1,4,8.542028799998661,1.3632791000018187,4.015603800002282,0.01072779999958584,0.04526350000014645,13.994412299998658,1017,100,0,1166,205,300000,0,raw_cases/A004,1,0,0,0,0,0,0.19248178919246647,0.027768053,0,0,0.0,1.0000000000000002,0,0.00828984503382697,0.006231941652731654,0,0,0.19248178919246647,0.05297906403217768,0.045724237857179516,4,1,4,1.0374280545239254,0.20748561090478507,0.07969308905927693,1.050131147,0.015607867324561403,0.5,0.5,0.75,0.25,0.0,0.206744544,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.15909090850000002,0.242424242,0.3333333335,0.424242425,0.575757575,0.25,
A005,A,Ours,proto_sw_1_1,compact,medium,1,200000,1,,,5,3,2,5,8.585274799999752,1.7731133999986923,5.65108809999947,0.015063999999256339,0.042497299997194204,16.08133699999962,1017,125,180,1357,1035,300000,0,raw_cases/A005,1,0,0,0,0,0,0.08575964237499716,0.027768053,0,0,0.0,1.0000000000000002,0,0.024144508504717208,0.009566393383069223,0,0,0.08566976936381314,0.37460875489658635,0.17084413075064372,5,2,5,1.2051025397559125,0.17215750567941607,0.07651493265397222,0.9779275090000001,0.01322642543859649,0.6,0.4,0.6,0.4,0.0,0.419564988,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.121212121,0.121212121,0.303030303,0.333333334,0.666666666,0.2,
A006,A,Ours,proto_sw_1_1,compact,rich,1,200000,1,,,6,4,2,6,8.528139300000475,2.1173624000002746,7.518558600000688,0.013479699999152217,0.04367399999682675,18.2390919999998,1017,150,24,1406,443,300000,0,raw_cases/A006,1,0,0,0,0,0,0.05441784017574301,0.027768053,0,0,0.0,1.0000000000000002,0,0.01912985701037274,0.008998369215579007,0,0,0.1170938724448233,0.28928910256279294,0.17084413075064372,6,2,6,1.5320393844544042,0.19150492305680053,0.07630490791581764,0.9779275090000001,0.014688413742690058,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.727914523,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.121212121,0.121212121,0.18939393999999998,0.303030303,0.696969697,0.16666666666666666,
A007,A,Ours,proto_sw_1_1,swept,simple,1,200000,1,,,4,3,1,4,9.160920399997849,1.477489400000195,4.325028300001577,0.010605200001009507,0.035083300001133466,15.022678400000586,972,100,0,886,146,300000,0,raw_cases/A007,1,0,0,0,0,0,0.1566646820027948,0.027768053,0,0,0.0,1.0000000000000002,0,0.0011350630743975785,0.0008114308877830096,0,0,0.1566646820027948,0.01969217625580676,0.015119508206487752,4,1,4,1.0536359316193111,0.21072718632386223,0.09503873199391218,0.840256067,0.011998583698830409,0.5,0.5,0.75,0.25,0.0,0.147403834,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.1439393935,0.196969697,0.3030303035,0.484848485,0.515151515,0.25,
A008,A,Ours,proto_sw_1_1,swept,medium,1,200000,1,,,6,4,2,6,9.095243899999332,2.1734150999982376,5.627548999997089,0.01093820000096457,0.03953639999963343,16.966814700001123,972,150,356,1349,772,300000,0,raw_cases/A008,1,0,0,0,0,0,0.043060991575945194,0.027768053,0,0,0.0,1.0000000000000002,0,0.001936958924379192,0.0013686868905299623,0,0,0.043146571645098865,0.5953045172548553,0.2836728311352965,6,2,6,1.2746570279308393,0.15933212849135492,0.06213151273435238,0.953029779,0.01859466374269006,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.538770955,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.090909091,0.090909091,0.2272727275,0.363636364,0.636363636,0.3333333333333333,
A009,A,Ours,proto_sw_1_1,swept,rich,1,200000,1,,,6,4,2,6,8.763682299999346,2.0409226000010676,3.901922099998046,0.0057849000004353,0.03714310000214027,14.769147900002281,972,150,187,635,423,300000,0,raw_cases/A009,1,0,0,0,0,0,0.04312907590457293,0.027768053,0,0,0.0,1.0000000000000002,0,0.002350034404157117,0.0012072038980596833,0,0,0.043146571645098865,0.39919974798955277,0.2379600890819522,6,2,6,1.4888840121267546,0.18611050151584432,0.08377103968460632,0.9616681169999999,0.018840232090643276,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.655736388,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0984848485,0.1363636365,0.196969697,0.333333333,0.666666667,0.3333333333333333,
A010,A,Ours,proto_sw_1_1,expanded,simple,2,200001,1,,,4,3,1,4,10.401839300000574,1.356925300002331,1.8248190000012983,0.002044100001512561,0.02661390000139363,13.62527609999961,999,100,0,398,202,300000,0,raw_cases/A010,1,0,0,0,0,0,0.1985994162969509,0.027768053,0,0,0.0,1.0,0,0.008208923590535882,0.008202490627744911,0,0,0.1985994162969509,0.02164172968463739,0.0156501210630023,4,1,4,1.0351257531740505,0.2070251506348101,0.10439657287498336,0.8830286310000001,0.011970029239766082,0.5,0.5,0.75,0.25,0.0,0.226992976,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.15151515175,0.151515152,0.25000000025,0.5454545449999999,0.4545454550000001,0.25,
