figure_panel,selection_rule,case_id,prototype_id,density_level,output_png,output_svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A001,proto_sw_1_1,simple,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A001__proto_sw_1_1__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A001__proto_sw_1_1__simple.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A002,proto_sw_1_1,medium,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A002__proto_sw_1_1__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A002__proto_sw_1_1__medium.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A003,proto_sw_1_1,rich,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A003__proto_sw_1_1__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A003__proto_sw_1_1__rich.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A091,proto_sw_1_3,simple,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A091__proto_sw_1_3__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A091__proto_sw_1_3__simple.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A092,proto_sw_1_3,medium,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A092__proto_sw_1_3__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A092__proto_sw_1_3__medium.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A093,proto_sw_1_3,rich,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A093__proto_sw_1_3__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A093__proto_sw_1_3__rich.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A181,proto_sw_2_3,simple,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A181__proto_sw_2_3__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A181__proto_sw_2_3__simple.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A182,proto_sw_2_3,medium,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A182__proto_sw_2_3__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A182__proto_sw_2_3__medium.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A183,proto_sw_2_3,rich,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A183__proto_sw_2_3__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A183__proto_sw_2_3__rich.svg
6a,expanded backbone; replicate 1; all five prototypes and three densities,A271,proto_sw_3_1,simple,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A271__proto_sw_3_1__simple.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq1\examples_success\A271__proto_sw_3_1__simple.svg
