case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir
A001,A,Ours,proto_sw_1_1,expanded,simple,1,200000,1,,,4,3,1,4,9.18307569999888,1.4163807000004454,3.519416100003582,0.010356200000387616,0.042424300001584925,14.188872499998979,980,100,0,408,177,300000,0,raw_cases/A001
A002,A,Ours,proto_sw_1_1,expanded,medium,1,200000,1,,,5,3,3,5,9.109344599997712,1.8028908999986015,2.388515099999495,0.014871100000164006,0.04510469999877387,13.37776269999813,980,125,196,337,1057,300000,0,raw_cases/A002
A003,A,Ours,proto_sw_1_1,expanded,rich,1,200000,1,,,6,4,2,6,9.088044899999659,2.139361599998665,2.5106642999999167,0.013753300001553725,0.04349089999959688,13.811052299999574,980,150,0,358,353,300000,0,raw_cases/A003
A004,A,Ours,proto_sw_1_1,compact,simple,1,200000,1,,,4,3,1,4,8.542028799998661,1.3632791000018187,4.015603800002282,0.01072779999958584,0.04526350000014645,13.994412299998658,1017,100,0,1166,205,300000,0,raw_cases/A004
A005,A,Ours,proto_sw_1_1,compact,medium,1,200000,1,,,5,3,2,5,8.585274799999752,1.7731133999986923,5.65108809999947,0.015063999999256339,0.042497299997194204,16.08133699999962,1017,125,180,1357,1035,300000,0,raw_cases/A005
A006,A,Ours,proto_sw_1_1,compact,rich,1,200000,1,,,6,4,2,6,8.528139300000475,2.1173624000002746,7.518558600000688,0.013479699999152217,0.04367399999682675,18.2390919999998,1017,150,24,1406,443,300000,0,raw_cases/A006
A007,A,Ours,proto_sw_1_1,swept,simple,1,200000,1,,,4,3,1,4,9.160920399997849,1.477489400000195,4.325028300001577,0.010605200001009507,0.035083300001133466,15.022678400000586,972,100,0,886,146,300000,0,raw_cases/A007
A008,A,Ours,proto_sw_1_1,swept,medium,1,200000,1,,,6,4,2,6,9.095243899999332,2.1734150999982376,5.627548999997089,0.01093820000096457,0.03953639999963343,16.966814700001123,972,150,356,1349,772,300000,0,raw_cases/A008
A009,A,Ours,proto_sw_1_1,swept,rich,1,200000,1,,,6,4,2,6,8.763682299999346,2.0409226000010676,3.901922099998046,0.0057849000004353,0.03714310000214027,14.769147900002281,972,150,187,635,423,300000,0,raw_cases/A009
A010,A,Ours,proto_sw_1_1,expanded,simple,2,200001,1,,,4,3,1,4,10.401839300000574,1.356925300002331,1.8248190000012983,0.002044100001512561,0.02661390000139363,13.62527609999961,999,100,0,398,202,300000,0,raw_cases/A010
A011,A,Ours,proto_sw_1_1,expanded,medium,2,200001,1,,,4,3,1,4,10.564665900001273,1.3506023000009009,1.9065525000005437,0.0029214999995019753,0.02946949999750359,13.869295599997713,999,100,0,398,202,300000,0,raw_cases/A011
A012,A,Ours,proto_sw_1_1,expanded,rich,2,200001,1,,,6,5,1,6,10.59831209999902,2.023108899997169,6.244421600000351,0.0051265000001876615,0.028467000000091502,18.91893390000041,999,150,154,1533,262,300000,0,raw_cases/A012
A013,A,Ours,proto_sw_1_1,compact,simple,2,200001,1,,,4,3,1,4,9.531826600003114,1.3559855000021344,0.707075000002078,0.0021196999987296294,0.027317299998685485,11.640545999998722,1065,100,0,292,134,300000,0,raw_cases/A013
A014,A,Ours,proto_sw_1_1,compact,medium,2,200001,1,,,5,4,1,5,9.641010499999538,1.6288309000010486,4.198215000000346,0.002739899999141926,0.03191010000227834,15.51783720000094,1065,125,366,1011,440,300000,0,raw_cases/A014
A015,A,Ours,proto_sw_1_1,compact,rich,2,200001,1,,,6,5,1,6,9.504562499998428,2.053102800000488,2.6455625999988115,0.0022626000027230475,0.025687000001198612,14.245598699999391,1065,150,24,893,128,300000,0,raw_cases/A015
A016,A,Ours,proto_sw_1_1,swept,simple,2,200001,1,,,4,3,1,4,8.564070299999003,1.2784282000029634,0.931821599999239,0.002289500000188127,0.027089999999589054,10.817731099999946,1031,100,0,70,110,300000,0,raw_cases/A016
A017,A,Ours,proto_sw_1_1,swept,medium,2,200001,1,,,5,4,1,5,8.92694180000035,1.6502780000009807,1.6096268000001146,0.0030406000005314127,0.028321800000412622,12.235009300002275,1031,125,0,56,291,300000,0,raw_cases/A017
A018,A,Ours,proto_sw_1_1,swept,rich,2,200001,1,,,6,5,1,6,8.829466899998806,1.9402090000003227,3.7021935999982816,0.002283099998749094,0.026238300000841264,14.51425769999696,1031,150,0,567,152,300000,0,raw_cases/A018
A019,A,Ours,proto_sw_1_1,expanded,simple,3,200002,1,,,4,3,1,4,10.170274599997356,1.327410100002453,2.6362384999993083,0.0019572999990487006,0.024447200001304736,14.17556649999824,964,100,0,281,171,300000,0,raw_cases/A019
A020,A,Ours,proto_sw_1_1,expanded,medium,3,200002,1,,,5,3,2,5,10.061646599999222,1.6065224000012677,2.9473403000010876,0.004678799999965122,0.02927840000120341,14.665005900002143,964,125,36,250,407,300000,0,raw_cases/A020
A021,A,Ours,proto_sw_1_1,expanded,rich,3,200002,1,,,6,4,3,6,9.842659699999786,1.9769762000032642,3.0235035000005155,0.005807100002130028,0.03433229999791365,14.900318399999378,964,150,44,620,1146,300000,0,raw_cases/A021
A022,A,Ours,proto_sw_1_1,compact,simple,3,200002,1,,,4,3,1,4,9.07436890000099,1.3046848000012687,1.0789573999973072,0.002433600002405001,0.023414499999489635,11.496957999999722,1096,100,14,312,88,300000,0,raw_cases/A022
