case_id,method,prototype_id,backbone_variant,density_level,l1_generation_success,unit_generation_success,error_type,error_message
C009,FixedSlot,proto_sw_1_1,compact,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C010,FixedSlot,proto_sw_1_1,compact,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C011,FixedSlot,proto_sw_1_1,compact,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C012,FixedSlot,proto_sw_1_1,compact,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C013,FixedSlot,proto_sw_1_1,swept,simple,0,0,MatrixCError,FixedSlot slot ordinary_1 has no feasible candidates
C014,FixedSlot,proto_sw_1_1,swept,simple,0,0,MatrixCError,FixedSlot slot ordinary_1 has no feasible candidates
C016,FixedSlot,proto_sw_1_1,swept,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C017,FixedSlot,proto_sw_1_1,swept,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C018,FixedSlot,proto_sw_1_1,swept,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C028,FixedSlot,proto_sw_1_3,compact,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C030,FixedSlot,proto_sw_1_3,compact,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C036,FixedSlot,proto_sw_1_3,swept,rich,1,0,Stage5SelectionError,joint H2-B search found no complete legal composition
C055,FixedSlot,proto_sw_3_1,expanded,simple,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C057,FixedSlot,proto_sw_3_1,expanded,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C060,FixedSlot,proto_sw_3_1,expanded,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C069,FixedSlot,proto_sw_3_1,swept,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C071,FixedSlot,proto_sw_3_1,swept,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C076,FixedSlot,proto_sw_3_2,expanded,medium,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C077,FixedSlot,proto_sw_3_2,expanded,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C078,FixedSlot,proto_sw_3_2,expanded,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
C083,FixedSlot,proto_sw_3_2,compact,rich,0,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment
