case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir
C001,IndependentCurve,proto_sw_1_1,expanded,simple,1,100013,1,1,0,0,,,4,0,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.07361269999819342,raw_cases/C001/methods/IndependentCurve
C001,FixedSlot,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,2.8706643000004988,raw_cases/C001/methods/FixedSlot
C001,LocalGreedy,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,2,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.04214229999706731,raw_cases/C001/methods/LocalGreedy
C001,Ours,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.03914900000017951,raw_cases/C001/methods/Ours
C002,IndependentCurve,proto_sw_1_1,expanded,simple,2,100016,1,1,0,0,,,4,0,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.05666149999888148,raw_cases/C002/methods/IndependentCurve
C002,FixedSlot,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,2.8747107999988657,raw_cases/C002/methods/FixedSlot
C002,LocalGreedy,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,2,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.0490397000030498,raw_cases/C002/methods/LocalGreedy
C002,Ours,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.03938279999783845,raw_cases/C002/methods/Ours
C003,IndependentCurve,proto_sw_1_1,expanded,medium,1,100006,1,1,0,0,,,5,0,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.05362229999809642,raw_cases/C003/methods/IndependentCurve
C003,FixedSlot,proto_sw_1_1,expanded,medium,1,100006,1,1,1,1,,,5,1,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_fixedslot,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.2459304000003613,raw_cases/C003/methods/FixedSlot
