case_id,prototype_id,backbone_variant,density_level,lane_count,different_parent_lane_state_count,different_parent_lane_state_ratio,local_selection_id,ours_selection_id
C001,proto_sw_1_1,expanded,simple,4,1,0.25,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C002,proto_sw_1_1,expanded,simple,4,1,0.25,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C003,proto_sw_1_1,expanded,medium,5,2,0.4,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C004,proto_sw_1_1,expanded,medium,5,2,0.4,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C005,proto_sw_1_1,expanded,rich,6,2,0.3333333333333333,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C006,proto_sw_1_1,expanded,rich,6,2,0.3333333333333333,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C007,proto_sw_1_1,compact,simple,4,2,0.5,proto_sw_1_1__seed_2781254137__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_2781254137__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C008,proto_sw_1_1,compact,simple,4,2,0.5,proto_sw_1_1__seed_399132903__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_399132903__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C009,proto_sw_1_1,compact,medium,5,4,0.8,proto_sw_1_1__seed_3756345937__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_3756345937__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C010,proto_sw_1_1,compact,medium,5,3,0.6,proto_sw_1_1__seed_3401931970__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_3401931970__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C011,proto_sw_1_1,compact,rich,6,2,0.3333333333333333,proto_sw_1_1__seed_1160715944__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1160715944__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C012,proto_sw_1_1,compact,rich,6,3,0.5,proto_sw_1_1__seed_3322687601__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_3322687601__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C013,proto_sw_1_1,swept,simple,4,2,0.5,proto_sw_1_1__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C014,proto_sw_1_1,swept,simple,4,1,0.25,proto_sw_1_1__seed_608345505__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_608345505__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C015,proto_sw_1_1,swept,medium,6,3,0.5,proto_sw_1_1__seed_3906224916__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_3906224916__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C016,proto_sw_1_1,swept,medium,5,3,0.6,proto_sw_1_1__seed_1105195513__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1105195513__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C017,proto_sw_1_1,swept,rich,6,2,0.3333333333333333,proto_sw_1_1__seed_302128940__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_302128940__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C018,proto_sw_1_1,swept,rich,6,4,0.6666666666666666,proto_sw_1_1__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_1__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C019,proto_sw_1_3,expanded,simple,4,2,0.5,proto_sw_1_3__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_3__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C020,proto_sw_1_3,expanded,simple,4,2,0.5,proto_sw_1_3__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_1_3__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
