case_id,prototype_id,backbone_variant,density_level,replicate,shared_success_budget_count,shared_success_budgets,median_difference_parallel_cotravel_total,local_median_parallel_cotravel_total,ours_median_parallel_cotravel_total,median_difference_parallel_cotravel_peak,local_median_parallel_cotravel_peak,ours_median_parallel_cotravel_peak
C001,proto_sw_1_1,expanded,simple,1,2,1;2,-0.0032824153394096396,0.006157661824919354,0.002875246485509714,-0.002622798869278245,0.004755799205328165,0.0021330003360499196
C002,proto_sw_1_1,expanded,simple,2,2,1;2,0.0008796873683470752,0.005273334979736333,0.006153022348083409,0.0007603706479595454,0.004332340786149637,0.005092711434109182
C003,proto_sw_1_1,expanded,medium,1,2,1;2,-0.16934171803966575,0.17177134363144658,0.00242962559178085,-0.12898451061711674,0.130543982290511,0.0015594716733942434
C004,proto_sw_1_1,expanded,medium,2,2,1;2,0.00107819112029712,0.007460510509508757,0.008538701629805877,0.0006670476983575229,0.0054522746735958805,0.006119322371953404
C005,proto_sw_1_1,expanded,rich,1,2,1;2,-0.055249278163039324,0.08667523245360251,0.03142595429056319,-0.05520977880248849,0.08571840900304874,0.030508630200560247
C006,proto_sw_1_1,expanded,rich,2,1,1,-0.01781747805186893,0.019357824526995807,0.0015403464751268753,-0.010300589718431456,0.011061139861520445,0.000760550143088989
C007,proto_sw_1_1,compact,simple,1,2,1;2,0.00033913762571506775,0.00023891430483051574,0.0005780519305455835,0.0001908713696984026,0.00022445385599196546,0.00041532522569036806
C008,proto_sw_1_1,compact,simple,2,2,1;2,-0.010276852601531355,0.018365219669911805,0.00808836706838045,-0.006817912108586432,0.012619590057511725,0.005801677948925291
C009,proto_sw_1_1,compact,medium,1,4,1;2;3;4,-0.2155047397893894,0.23602683078389639,0.002950357177516936,-0.18275496087833534,0.1997801504031709,0.001231688114814508
C010,proto_sw_1_1,compact,medium,2,4,1;2;3;4,-0.4198717931903896,0.4269645365424921,0.005388627507370759,-0.3069944738173095,0.3110222617379876,0.0031018893141194644
C011,proto_sw_1_1,compact,rich,1,2,1;2,-0.017470919574297104,0.023376679108053605,0.005905759533756497,-0.01700504058003867,0.021592260777982576,0.004587220197943908
C012,proto_sw_1_1,compact,rich,2,4,1;2;3;4,-0.04405547836044976,0.06611605755345687,0.02013781199721457,-0.03296661900836084,0.040947871529533476,0.00733179632241875
