prototype_id,backbone_variant,density_level,planned_replicate_count,covered_context_count,shared_success_budget_count,covered
proto_sw_1_1,compact,medium,2,2,8,1
proto_sw_1_1,compact,rich,2,2,6,1
proto_sw_1_1,compact,simple,2,2,4,1
proto_sw_1_1,expanded,medium,2,2,4,1
proto_sw_1_1,expanded,rich,2,2,3,1
proto_sw_1_1,expanded,simple,2,2,4,1
proto_sw_1_1,swept,medium,2,2,8,1
proto_sw_1_1,swept,rich,2,2,6,1
proto_sw_1_1,swept,simple,2,2,4,1
proto_sw_1_3,compact,medium,2,2,5,1
proto_sw_1_3,compact,rich,2,2,4,1
proto_sw_1_3,compact,simple,2,2,4,1
proto_sw_1_3,expanded,medium,2,2,5,1
proto_sw_1_3,expanded,rich,2,2,7,1
proto_sw_1_3,expanded,simple,2,2,4,1
proto_sw_1_3,swept,medium,2,2,2,1
proto_sw_1_3,swept,rich,2,2,4,1
proto_sw_1_3,swept,simple,2,2,4,1
proto_sw_2_3,compact,medium,2,2,5,1
proto_sw_2_3,compact,rich,2,2,7,1
proto_sw_2_3,compact,simple,2,2,5,1
proto_sw_2_3,expanded,medium,2,2,2,1
proto_sw_2_3,expanded,rich,2,2,9,1
proto_sw_2_3,expanded,simple,2,2,8,1
proto_sw_2_3,swept,medium,2,2,5,1
proto_sw_2_3,swept,rich,2,2,6,1
proto_sw_2_3,swept,simple,2,2,6,1
proto_sw_3_1,compact,medium,2,2,4,1
proto_sw_3_1,compact,rich,2,2,7,1
proto_sw_3_1,compact,simple,2,2,6,1
proto_sw_3_1,expanded,medium,2,2,4,1
proto_sw_3_1,expanded,rich,2,2,6,1
proto_sw_3_1,expanded,simple,2,2,4,1
proto_sw_3_1,swept,medium,2,2,7,1
proto_sw_3_1,swept,rich,2,2,8,1
proto_sw_3_1,swept,simple,2,2,6,1
proto_sw_3_2,compact,medium,2,2,3,1
proto_sw_3_2,compact,rich,2,2,3,1
proto_sw_3_2,compact,simple,2,2,4,1
proto_sw_3_2,expanded,medium,2,2,5,1
proto_sw_3_2,expanded,rich,2,2,3,1
proto_sw_3_2,expanded,simple,2,2,7,1
proto_sw_3_2,swept,medium,2,2,5,1
proto_sw_3_2,swept,rich,2,2,8,1
proto_sw_3_2,swept,simple,2,2,6,1
