case_id,prototype_id,backbone_variant,density_level,replicate,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,mechanically_legal,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,clearance_violation_count,flower_region_intrusion_curve_count,periodic_seam_violation_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,parallel_cotravel_total,parallel_cotravel_peak,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.002255266574711808,0.001447484292326783,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.002067883466356728,0.0012741523711913086,0.75,0.25,0.0
C001,proto_sw_1_1,expanded,simple,1,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0100600570751269,0.008064114118329547,0.75,0.0,0.25
C001,proto_sw_1_1,expanded,simple,1,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.13025855419383658,0.027768053,0.0036826095046627004,0.002991848300908531,0.75,0.0,0.25
C002,proto_sw_1_1,expanded,simple,2,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.005529525588711411,0.004773578692067292,0.75,0.25,0.0
C002,proto_sw_1_1,expanded,simple,2,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.005679392557598188,0.005016042721063663,0.75,0.25,0.0
C002,proto_sw_1_1,expanded,simple,2,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.005017144370761255,0.003891102880231983,0.75,0.0,0.25
C002,proto_sw_1_1,expanded,simple,2,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.2299465213980741,0.027768053,0.006626652138568628,0.005169380147154703,0.75,0.0,0.25
C003,proto_sw_1_1,expanded,medium,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.12410516624979502,0.027768053,0.10069186020774905,0.08889571766946525,0.8,0.2,0.0
C003,proto_sw_1_1,expanded,medium,1,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.12410516624979502,0.027768053,0.0021920051168974166,0.0014701083822120974,0.8,0.2,0.0
C003,proto_sw_1_1,expanded,medium,1,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.11987486165209461,0.027768053,0.24285082705514413,0.17219224691155674,0.8,0.0,0.2
C003,proto_sw_1_1,expanded,medium,1,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.12410516624979502,0.027768053,0.0026672460666642833,0.0016488349645763895,0.8,0.0,0.2
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.14860873469071043,0.027768053,0.0074959141068508634,0.0068384789750020715,0.8,0.2,0.0
C004,proto_sw_1_1,expanded,medium,2,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.14860873469071043,0.027768053,0.01599365087278249,0.011194709675082057,0.8,0.2,0.0
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.14860873469071043,0.027768053,0.007425106912166651,0.004066070372189689,0.8,0.0,0.2
C004,proto_sw_1_1,expanded,medium,2,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.12591480825016654,0.027768053,0.0010837523868292651,0.0010439350688247501,0.8,0.0,0.2
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.11591545772454731,0.1150212647560424,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.005416901398468663,0.004601707151065404,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.03107526214622732,0.027768053,0.05743500718265772,0.05641555325005509,0.8333333333333334,0.0,0.16666666666666666
C005,proto_sw_1_1,expanded,rich,1,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.03107526214622732,0.027768053,0.05743500718265772,0.05641555325005509,0.8333333333333334,0.0,0.16666666666666666
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.06509633687220658,0.027768053,0.019357824526995807,0.011061139861520445,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.06509633687220658,0.027768053,0.0015403464751268753,0.000760550143088989,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.052878878340942494,0.027768053,0.017497368919525354,0.014513202201332504,0.8333333333333334,0.0,0.16666666666666666
C007,proto_sw_1_1,compact,simple,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.00021364747648422824,0.00021232247393985267,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.00038238934799204145,0.0001983991135168096,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.00026418113317680324,0.00023658523804407822,0.75,0.0,0.25
C007,proto_sw_1_1,compact,simple,1,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0007737145130991255,0.0006322513378639265,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.006475665513742564,0.0043646036173696345,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0131199970068061,0.009939949476543435,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.030254773826081046,0.020874576497653813,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,Ours@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0030567371299548,0.0016634064213071472,0.75,0.0,0.25
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.005391107337148364,0.004584389529336712,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0015117081641653745,0.0008721854435207589,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.20892809918687016,0.1997801504031709,0.8,0.0,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,Ours@B,2,,2,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0018169644564929306,0.0008721854435207589,0.6,0.4,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy@B,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.28768165872737606,0.1997801504031709,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,Ours@B,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0040837498985409415,0.0015911907861082574,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy@B,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.2631255623809226,0.1997801504031709,0.6,0.0,0.4
C009,proto_sw_1_1,compact,medium,1,MB-L2,Ours@B,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.039227217532521085,0.032459188263562866,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05329910184235498,0.027768053,0.2963325968640169,0.19571711766293756,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,Ours@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.05329910184235498,0.027768053,0.0049753634405589,0.0031018893141194644,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy@B,2,,2,1,1,0,0,0,0,0,0,0,0,0.02845327962953569,0.027768053,0.42696304685012104,0.3110222617379876,0.8,0.0,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,Ours@B,2,,2,2,1,0,0,0,0,0,0,0,0,0.05329910184235498,0.027768053,0.005151856479718174,0.0031018893141194644,0.6,0.4,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy@B,3,,3,2,1,0,0,0,0,0,0,0,0,0.02845327962953569,0.027768053,0.42696602623486324,0.3110222617379876,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,Ours@B,3,,3,2,1,0,0,0,0,0,0,0,0,0.05329910184235498,0.027768053,0.005625398535023344,0.0031018893141194644,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy@B,4,,4,2,1,0,0,0,0,0,0,0,0,0.02845327962953569,0.027768053,0.4274302678661717,0.3110222617379876,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,Ours@B,4,,4,2,1,0,0,0,0,0,0,0,0,0.05329910184235498,0.027768053,0.00902730918523239,0.004953686527236677,0.6,0.0,0.4
C011,proto_sw_1_1,compact,rich,1,MB-L2,LocalGreedy@B,1,,1,1,1,0,0,0,0,0,0,0,0,0.03582121118648592,0.027768053,0.002561888601063749,0.0010987950350821877,0.8333333333333334,0.16666666666666666,0.0
