case_id,prototype_id,backbone_variant,density_level,replicate,production_seed,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,budget_attained,selection_status,failure_reason,selected_candidate_ids,selected_parent_states,search_node_count,search_node_limit_reached,bounded_space_exhausted,runtime_seconds,source_stage3_plan_id,source_inventory_id,source_conflict_graph_id
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LocalGreedy@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.008081299999957992,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,Ours@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",128,0,1,0.0028602000002138084,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,LocalGreedy@B,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",4,0,1,0.0011850000000777072,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3
C001,proto_sw_1_1,expanded,simple,1,100013,MB-L2,Ours@B,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075"", ""proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_preferred__sample_0067""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""OPPOSED_L2_PAIR"", ""selected_l1_004"": ""L1_ONLY""}",305,0,1,0.0026079000003846886,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,LocalGreedy@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__balanced_s__context_opposed__sample_0079"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",4,0,1,0.009200099999816302,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,Ours@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""SINGLE_L2_LEFT""}",249,0,1,0.003317199999855802,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,LocalGreedy@B,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",4,0,1,0.001323200000115321,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593
C002,proto_sw_1_1,expanded,simple,2,100016,MB-L2,Ours@B,2,,2,1,1,success,,"[""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__open_asymmetric__context_swapped__sample_0099"", ""proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""OPPOSED_L2_PAIR""}",152,0,1,0.0028431999999156687,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593
C003,proto_sw_1_1,expanded,medium,1,100006,MB-L2,LocalGreedy@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001__Y-C__balanced_s__context_opposed__sample_0004"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050""]","{""selected_l1_001"": ""SINGLE_L2_RIGHT"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""L1_ONLY"", ""selected_l1_004"": ""L1_ONLY"", ""selected_l1_005"": ""L1_ONLY""}",5,0,1,0.008663799999794719,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,4077c4607a22cbae43cfdf706263214483ad5006a9e93f29ccb9b014608a7038
C003,proto_sw_1_1,expanded,medium,1,100006,MB-L2,Ours@B,1,,1,1,1,success,,"[""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025"", ""proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_003__Y-C__open_c__context_preferred__sample_0055""]","{""selected_l1_001"": ""L1_ONLY"", ""selected_l1_002"": ""L1_ONLY"", ""selected_l1_003"": ""SINGLE_L2_LEFT"", ""selected_l1_004"": ""L1_ONLY"", ""selected_l1_005"": ""L1_ONLY""}",171,0,1,0.0017526000001453212,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,4077c4607a22cbae43cfdf706263214483ad5006a9e93f29ccb9b014608a7038
