analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,all,compact,density_resource_D,150,0.4578600301066667,0.4349675435,0.149536271,0.752919983,,,,,,
level_distribution,backbone,all,compact,l1_count,150,5.653333333333333,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,compact,l2_count,150,1.72,2.0,1.0,4.0,,,,,,
level_distribution,backbone,all,compact,branchunit_count_evaluated,150,5.653333333333333,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,compact,ordinary_total_length,150,1.3894519344109282,1.3813783157545378,0.9065630966141588,2.042546409747969,,,,,,
level_distribution,backbone,all,compact,ordinary_mean_length,150,0.1900582301495352,0.1882794375781189,0.1333806395395082,0.28085505914246184,,,,,,
level_distribution,backbone,all,compact,mean_backbone_excursion,150,0.07631304015594441,0.07617347041709374,0.042401039665890906,0.12009882003468556,,,,,,
level_distribution,backbone,all,compact,vertical_span,150,0.73490466142,0.7334126375,0.23693643400000008,1.100056524,,,,,,
level_distribution,backbone,all,compact,occupied_area_ratio,150,0.022770505908869396,0.022817868238304093,0.012615360014619883,0.03457373903508772,,,,,,
level_distribution,backbone,all,compact,root_coverage_qcov,150,0.6490909090533333,0.6363636370000001,0.454545454,0.757575758,,,,,,
level_distribution,backbone,all,compact,root_gap_max,150,0.35090909094666667,0.3636363629999999,0.242424242,0.545454546,,,,,,
level_distribution,backbone,all,expanded,density_resource_D,150,0.43787294910666663,0.4232449175,0.165438292,0.807295903,,,,,,
level_distribution,backbone,all,expanded,l1_count,150,5.486666666666666,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,expanded,l2_count,150,1.72,2.0,1.0,5.0,,,,,,
level_distribution,backbone,all,expanded,branchunit_count_evaluated,150,5.486666666666666,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,expanded,ordinary_total_length,150,1.378556015880346,1.3789259820885218,0.7783255265462775,2.1329132766982575,,,,,,
level_distribution,backbone,all,expanded,ordinary_mean_length,150,0.1926581510542962,0.19233500797930803,0.1302826044864962,0.2666141595872822,,,,,,
level_distribution,backbone,all,expanded,mean_backbone_excursion,150,0.0828839001902733,0.08016111038668647,0.042748906696752666,0.14288834001172787,,,,,,
level_distribution,backbone,all,expanded,vertical_span,150,0.6692515336133333,0.6924587635,0.31406338600000006,1.235123647,,,,,,
level_distribution,backbone,all,expanded,occupied_area_ratio,150,0.022296920687134503,0.022406684027777776,0.010782163742690058,0.03433959247076023,,,,,,
level_distribution,backbone,all,expanded,root_coverage_qcov,150,0.60484848484,0.636363636,0.393939394,0.757575758,,,,,,
level_distribution,backbone,all,expanded,root_gap_max,150,0.39515151515999997,0.363636364,0.242424242,0.606060606,,,,,,
level_distribution,backbone,all,swept,density_resource_D,150,0.45518202640666666,0.444264562,0.095304079,0.790830052,,,,,,
level_distribution,backbone,all,swept,l1_count,150,5.626666666666667,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,swept,l2_count,150,1.6466666666666667,2.0,1.0,3.0,,,,,,
level_distribution,backbone,all,swept,branchunit_count_evaluated,150,5.626666666666667,6.0,4.0,7.0,,,,,,
level_distribution,backbone,all,swept,ordinary_total_length,150,1.382098421601444,1.3892170044846055,0.9045041297251035,2.0013669098821176,,,,,,
level_distribution,backbone,all,swept,ordinary_mean_length,150,0.1910437544416573,0.18852061976554788,0.14285907484252197,0.25540264931038,,,,,,
level_distribution,backbone,all,swept,mean_backbone_excursion,150,0.07866479870842094,0.07857669544755455,0.040378316562861505,0.11067251257394972,,,,,,
level_distribution,backbone,all,swept,vertical_span,150,0.6930565705466666,0.6960127115,0.2786191859999999,1.1465600519999999,,,,,,
level_distribution,backbone,all,swept,occupied_area_ratio,150,0.022471217105263157,0.022318165204678362,0.01149031432748538,0.03485357273391813,,,,,,
level_distribution,backbone,all,swept,root_coverage_qcov,150,0.64545454548,0.666666666,0.393939394,0.757575758,,,,,,
level_distribution,backbone,all,swept,root_gap_max,150,0.35454545452,0.333333334,0.242424242,0.606060606,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,density_resource_D,30,0.44785027636666663,0.426131845,0.149536271,0.752919983,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,l1_count,30,5.0,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,l2_count,30,1.5,1.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,branchunit_count_evaluated,30,5.0,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,ordinary_total_length,30,1.260303296573255,1.212846116607293,1.0248954543734612,1.59388722125536,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,ordinary_mean_length,30,0.19572170232871505,0.1959550993029814,0.14992932592830788,0.23554889533148068,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,mean_backbone_excursion,30,0.06763695265901058,0.06783003314759166,0.045664336890187576,0.09687247420261154,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,vertical_span,30,1.0455261971333334,1.048989946,0.9779275090000001,1.100056524,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,occupied_area_ratio,30,0.017881944444444447,0.017418220029239765,0.012615360014619883,0.024802403143274854,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,root_coverage_qcov,30,0.6383838383333333,0.636363636,0.575757575,0.696969697,,,,,,
level_distribution,backbone,proto_sw_1_1,compact,root_gap_max,30,0.36161616166666666,0.363636364,0.303030303,0.424242425,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,density_resource_D,30,0.41983531869999996,0.37983640750000003,0.185505266,0.74225032,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,l1_count,30,4.866666666666666,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,l2_count,30,1.5666666666666667,1.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,branchunit_count_evaluated,30,4.866666666666666,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,ordinary_total_length,30,1.2543427159968676,1.194307560372339,1.0249071049040415,1.6366903355929505,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,ordinary_mean_length,30,0.19733843685835328,0.20362460304979044,0.1579634170457334,0.23642471986115554,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,mean_backbone_excursion,30,0.08450517897402765,0.08407678606419229,0.05847928322239472,0.11030799315330304,,,,,,
level_distribution,backbone,proto_sw_1_1,expanded,vertical_span,30,0.8735914766666666,0.8868699795,0.5736034369999999,1.235123647,,,,,,
