group,analysis_role,metric,n,mean,std,median,q25,q75,min,max,inferential_test_performed
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,l1_count,8,13.875,10.894789055848147,9.5,5.75,23.25,2.0,30.0,0
generated_ours,FORMAL_GENERATED_OUTPUT,l1_count,50,5.48,0.6464976285134149,6.0,5.0,6.0,4.0,6.0,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,l2_count,8,3.375,4.240535680446853,2.0,0.0,4.75,0.0,10.0,0
generated_ours,FORMAL_GENERATED_OUTPUT,l2_count,50,1.72,0.5728553615932405,2.0,1.0,2.0,1.0,3.0,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,l2_per_l1,8,0.3568181818181818,0.4030148420039991,0.2606060606060606,0.0,0.5833333333333334,0.0,1.0,0
generated_ours,FORMAL_GENERATED_OUTPUT,l2_per_l1,50,0.31800000000000006,0.11328130058056576,0.3333333333333333,0.2,0.4,0.16666666666666666,0.6,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,ordinary_total_length,8,2.052984116954,0.9258195169373226,1.7813752755499797,1.3687604626626797,2.5752099832531457,1.0497356066133425,3.6270973463409852,0
generated_ours,FORMAL_GENERATED_OUTPUT,ordinary_total_length,50,1.3374732508220524,0.19792744653103933,1.3078643311968579,1.1811527522218825,1.495260795315172,1.0033235230672135,1.8240084047756375,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,ordinary_mean_length,8,0.16155393916491217,0.07584107665352964,0.14525572731220304,0.1074390069903208,0.21360546976484768,0.06817016470268221,0.27092422272188343,0
generated_ours,FORMAL_GENERATED_OUTPUT,ordinary_mean_length,50,0.18676851556955967,0.024431237648553122,0.1863177097725457,0.16875034150863955,0.19518432317057405,0.1474275371923377,0.2529751512573707,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,vertical_span,8,0.4326968223782295,0.1783677120024241,0.43310277854069,0.285766940236422,0.5033558352579975,0.2482498232747207,0.7833490686878507,0
generated_ours,FORMAL_GENERATED_OUTPUT,vertical_span,50,0.6622825077799999,0.18749910605994866,0.697037169,0.5026968467499999,0.8098740485000001,0.31406338600000006,0.9516311919999999,0
real_reference,DESCRIPTIVE_CALIBRATION_REFERENCE,occupied_area_ratio,8,0.09950126870173935,0.06298306367431775,0.0922882624539628,0.04330009920634921,0.1534125166769294,0.02974193738229755,0.1883213141025641,0
generated_ours,FORMAL_GENERATED_OUTPUT,occupied_area_ratio,50,0.02160967196637427,0.005258246121931592,0.022129705774853802,0.018182051809210526,0.025621916118421052,0.010782163742690058,0.03118718019005848,0
