blind_stimulus_id,participant_ratings,F1_ratings,F2_ratings,F3_ratings
S765282,15,5,5,5
S100142,15,5,5,5
S322620,15,5,5,5
S925514,15,5,5,5
S244659,15,5,5,5
S120929,15,5,5,5
S255676,15,5,5,5
S841610,15,5,5,5
S513715,15,5,5,5
S286860,15,5,5,5
S213539,15,5,5,5
S724485,15,5,5,5
S300932,15,5,5,5
S237615,15,5,5,5
S804770,15,5,5,5
S513164,15,5,5,5
S594442,15,5,5,5
S402260,15,5,5,5
S857430,15,5,5,5
S941288,15,5,5,5
S501143,15,5,5,5
S412510,15,5,5,5
S216137,15,5,5,5
S168905,15,5,5,5
S139511,15,5,5,5
S632785,15,5,5,5
S692058,15,5,5,5
S654103,15,5,5,5
S695236,15,5,5,5
S951832,15,5,5,5
