blind_stimulus_id,order_form,panel_label,method,case_id,prototype_id,backbone_variant,density_level,replicate,production_seed,stimulus_file,source_png
S765282,F1,A,FixedSlot,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\FixedSlot\formal_triple.png
S765282,F1,B,LocalGreedy,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\LocalGreedy\formal_triple.png
S765282,F1,C,Ours,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\Ours\formal_triple.png
S765282,F2,A,LocalGreedy,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\LocalGreedy\formal_triple.png
S765282,F2,B,Ours,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\Ours\formal_triple.png
S765282,F2,C,FixedSlot,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\FixedSlot\formal_triple.png
S765282,F3,A,Ours,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\Ours\formal_triple.png
S765282,F3,B,FixedSlot,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\FixedSlot\formal_triple.png
S765282,F3,C,LocalGreedy,C004,proto_sw_1_1,expanded,medium,2,100010,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C004\methods\LocalGreedy\formal_triple.png
S100142,F1,A,FixedSlot,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\FixedSlot\formal_triple.png
S100142,F1,B,LocalGreedy,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\LocalGreedy\formal_triple.png
S100142,F1,C,Ours,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\Ours\formal_triple.png
S100142,F2,A,LocalGreedy,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\LocalGreedy\formal_triple.png
S100142,F2,B,Ours,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\Ours\formal_triple.png
S100142,F2,C,FixedSlot,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\FixedSlot\formal_triple.png
S100142,F3,A,Ours,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\Ours\formal_triple.png
S100142,F3,B,FixedSlot,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\FixedSlot\formal_triple.png
S100142,F3,C,LocalGreedy,C008,proto_sw_1_1,compact,simple,2,100008,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C008\methods\LocalGreedy\formal_triple.png
S322620,F1,A,Ours,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\Ours\formal_triple.png
S322620,F1,B,FixedSlot,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\FixedSlot\formal_triple.png
S322620,F1,C,LocalGreedy,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\LocalGreedy\formal_triple.png
