participant_id,presentation_sequence,blind_stimulus_id,order_form,stimulus_file
P01,1,S237615,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F1.png
P01,2,S120929,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F1.png
P01,3,S255676,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F1.png
P01,4,S286860,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F1.png
P01,5,S925514,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F1.png
P01,6,S100142,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F1.png
P01,7,S724485,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F1.png
P01,8,S513715,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F1.png
P01,9,S804770,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F1.png
P01,10,S765282,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S765282_F1.png
P01,11,S244659,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F1.png
P01,12,S322620,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F1.png
P01,13,S300932,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F1.png
P01,14,S841610,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png
P01,15,S213539,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F1.png
P02,1,S925514,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png
P02,2,S237615,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F2.png
P02,3,S804770,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F2.png
P02,4,S244659,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png
P02,5,S213539,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F2.png
P02,6,S120929,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png
P02,7,S300932,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F2.png
P02,8,S286860,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F2.png
P02,9,S513164,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F2.png
P02,10,S322620,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png
P02,11,S841610,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png
