blind_stimulus_id,case_id,prototype_id,backbone_variant,density_level,replicate,production_seed
S765282,C004,proto_sw_1_1,expanded,medium,2,100010
S100142,C008,proto_sw_1_1,compact,simple,2,100008
S322620,C084,proto_sw_3_2,compact,rich,2,100005
S925514,C005,proto_sw_1_1,expanded,rich,1,100018
S244659,C053,proto_sw_2_3,swept,rich,1,100007
S120929,C023,proto_sw_1_3,expanded,rich,1,100030
S255676,C043,proto_sw_2_3,compact,simple,1,100005
S841610,C006,proto_sw_1_1,expanded,rich,2,100019
S513715,C029,proto_sw_1_3,compact,rich,1,100008
S286860,C022,proto_sw_1_3,expanded,medium,2,100024
S213539,C037,proto_sw_2_3,expanded,simple,1,100000
S724485,C034,proto_sw_1_3,swept,medium,2,100023
S300932,C074,proto_sw_3_2,expanded,simple,2,100036
S237615,C090,proto_sw_3_2,swept,rich,2,100015
S804770,C048,proto_sw_2_3,compact,rich,2,100032
S513164,C085,proto_sw_3_2,swept,simple,1,100000
S594442,C007,proto_sw_1_1,compact,simple,1,100000
S402260,C052,proto_sw_2_3,swept,medium,2,100009
S857430,C075,proto_sw_3_2,expanded,medium,1,100008
S941288,C056,proto_sw_3_1,expanded,simple,2,100013
S501143,C081,proto_sw_3_2,compact,medium,1,100006
S412510,C063,proto_sw_3_1,compact,medium,1,100010
S216137,C067,proto_sw_3_1,swept,simple,1,100021
S168905,C070,proto_sw_3_1,swept,medium,2,100014
S139511,C015,proto_sw_1_1,swept,medium,1,100004
S632785,C059,proto_sw_3_1,expanded,rich,1,100003
S692058,C031,proto_sw_1_3,swept,simple,1,100004
S654103,C066,proto_sw_3_1,compact,rich,2,100015
S695236,C026,proto_sw_1_3,compact,simple,2,100010
S951832,C040,proto_sw_2_3,expanded,medium,2,100023
