metric,formal_comparison_eligible,basis
l1_count,1,direct role geometry after period normalization
l2_count,1,direct role geometry after period normalization
l2_per_l1,1,direct role geometry after period normalization
ordinary_total_length,1,direct role geometry after period normalization
ordinary_mean_length,1,direct role geometry after period normalization
vertical_span,1,direct role geometry after period normalization
occupied_area_ratio,1,direct role geometry after period normalization
root_position,0,requires explicit parent topology; exploratory inference is reported separately
root_spacing,0,requires explicit parent topology; exploratory inference is reported separately
hierarchy_state,0,requires explicit parent topology; exploratory inference is reported separately
upper_lower_allocation,0,requires explicit parent topology; exploratory inference is reported separately
