group,sample_id,analysis_role,l1_count,l2_count,l2_per_l1,ordinary_total_length,ordinary_mean_length,vertical_span,occupied_area_ratio
real_reference,REAL_01,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,6,3,0.5,1.373473579013767,0.15260817544597413,0.2482498232747207,0.07748339371980677
real_reference,REAL_02,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,2,2,1.0,1.0497356066133425,0.26243390165333563,0.37296712016935596,0.04773809523809524
real_reference,REAL_03,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,7,0,0.0,1.3813052806141286,0.19732932580201837,0.7833490686878507,0.029986111111111113
real_reference,REAL_04,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,22,10,0.45454545454545453,3.6270973463409852,0.1133467920731558,0.5049784821404504,0.1490019499178982
real_reference,REAL_05,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,5,0,0.0,1.354621113609417,0.27092422272188343,0.49323843691202407,0.02974193738229755
real_reference,REAL_06,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,30,2,0.06666666666666667,2.1814452704858307,0.06817016470268221,0.2624311618435373,0.16664421695402298
real_reference,REAL_07,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,12,10,0.8333333333333334,3.0338721419255026,0.13790327917843193,0.29354553303405023,0.1883213141025641
real_reference,REAL_08,DESCRIPTIVE_ONLY_CALIBRATION_INFORMED,27,0,0.0,2.4223225970290265,0.08971565174181577,0.5028149529638466,0.1070931311881188
generated_ours,A002,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,3,0.6,1.2637073363658673,0.1579634170457334,0.71342179,0.010782163742690058
generated_ours,A011,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,4,1,0.25,1.0351257531740505,0.2070251506348101,0.8830286310000001,0.011970029239766082
generated_ours,A020,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.2711380541892943,0.1815911505984706,0.9516311919999999,0.012815241228070175
generated_ours,A029,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,3,0.6,1.2726394460512243,0.15907993075640303,0.875690247,0.01396313048245614
generated_ours,A038,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,4,2,0.5,1.1719044405464467,0.19531740675774112,0.71603324,0.01539656432748538
generated_ours,A047,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.3125996950841337,0.18751424215487625,0.9305306420000001,0.016453079312865496
generated_ours,A056,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,4,1,0.25,1.1821235993057777,0.23642471986115554,0.9347876019999999,0.011970029239766082
generated_ours,A065,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,4,2,0.5,1.1648451510698794,0.19414085851164656,0.939316123,0.015784904970760235
generated_ours,A074,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.1687104344544372,0.19478507240907286,0.890711328,0.014442845394736841
generated_ours,A083,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.2064915214389003,0.1723559316341286,0.822290253,0.01803499634502924
