case_id,page,row,column,contact_sheet_png
A001,1,1,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A002,1,1,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A003,1,1,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A004,1,2,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A005,1,2,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A006,1,2,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_001.png
A007,2,1,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A008,2,1,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A009,2,1,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A010,2,2,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A011,2,2,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A012,2,2,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_002.png
A013,3,1,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A014,3,1,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A015,3,1,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A016,3,2,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A017,3,2,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A018,3,2,3,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_003.png
A019,4,1,1,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_004.png
A020,4,1,2,artifacts/paper_a_chapter4_v1/visual_review_all_cases_v1/single_contact_sheets/single_page_004.png
