case_id,source_group,prototype_id,backbone_variant,density_level,replicate,production_seed,formal_triple_png,formal_triple_svg,formal_single_svg,mechanical_validity,single_review_source_svg,single_review_mode
A001,matrix_A,proto_sw_1_1,expanded,simple,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A001/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A001/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A001/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A002,matrix_A,proto_sw_1_1,expanded,medium,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A002/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A002/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A002/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A003,matrix_A,proto_sw_1_1,expanded,rich,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A003/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A003/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A003/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A004,matrix_A,proto_sw_1_1,compact,simple,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A004/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A004/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A004/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A005,matrix_A,proto_sw_1_1,compact,medium,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A005/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A005/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A005/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A006,matrix_A,proto_sw_1_1,compact,rich,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A006/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A006/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A006/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A007,matrix_A,proto_sw_1_1,swept,simple,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A007/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A007/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A007/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A008,matrix_A,proto_sw_1_1,swept,medium,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A008/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A008/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A008/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A009,matrix_A,proto_sw_1_1,swept,rich,1,200000,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A009/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A009/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A009/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A010,matrix_A,proto_sw_1_1,expanded,simple,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A010/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A010/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A010/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A011,matrix_A,proto_sw_1_1,expanded,medium,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A011/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A011/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A011/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A012,matrix_A,proto_sw_1_1,expanded,rich,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A012/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A012/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A012/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A013,matrix_A,proto_sw_1_1,compact,simple,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A013/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A013/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A013/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A014,matrix_A,proto_sw_1_1,compact,medium,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A014/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A014/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A014/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A015,matrix_A,proto_sw_1_1,compact,rich,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A015/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A015/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A015/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A016,matrix_A,proto_sw_1_1,swept,simple,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A016/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A016/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A016/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A017,matrix_A,proto_sw_1_1,swept,medium,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A017/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A017/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A017/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A018,matrix_A,proto_sw_1_1,swept,rich,2,200001,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A018/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A018/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A018/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A019,matrix_A,proto_sw_1_1,expanded,simple,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A019/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A019/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A019/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A020,matrix_A,proto_sw_1_1,expanded,medium,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A020/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A020/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A020/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A021,matrix_A,proto_sw_1_1,expanded,rich,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A021/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A021/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A021/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A022,matrix_A,proto_sw_1_1,compact,simple,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A022/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A022/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A022/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A023,matrix_A,proto_sw_1_1,compact,medium,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A023/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A023/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A023/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A024,matrix_A,proto_sw_1_1,compact,rich,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A024/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A024/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A024/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A025,matrix_A,proto_sw_1_1,swept,simple,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A025/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A025/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A025/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A026,matrix_A,proto_sw_1_1,swept,medium,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A027,matrix_A,proto_sw_1_1,swept,rich,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A028,matrix_A,proto_sw_1_1,expanded,simple,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A029,matrix_A,proto_sw_1_1,expanded,medium,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.svg,central_period_viewport_from_formal_triple_svg
