trial_id,variant,child_count,semantic_curve_count,cubic_segment_count,primary_length,child_total_length,terminal_length,total_length,vector_ink,raster_ink_mass,hard_valid,hard_failure_reasons,geometry_hash
L01,L0,0,2,3,55.898741,0,9.040574,64.939315,177.188826,184.75,True,,5b1741d7704bd9cc117574fa979ed981399df690c859a15c3b71f2c2609e7296
L01,L1,0,2,3,55.898741,0,9.040574,64.939315,177.188826,185.0625,True,,4b088b0d0616b6e6504b19f4edd96972730aab91d88e74cfcfb03507d985a5e8
L02,L0,1,3,4,55.898754,16.769746,8.908721,81.577221,207.235963,210.625,True,,ea1aa4f5e07f12c032e4a0734da1930ca99a0913897754777cce094e5d43f575
L02,L1,1,3,4,55.898754,16.769746,8.908721,81.577221,207.235963,210.375,True,,614423e48a4146563d2e397ff9a7bb035c859b35c357af6b9e0df3576a3300a4
L03,L0,2,4,5,55.898716,29.067622,9.434233,94.400571,229.923812,228.25,True,,5405aa8de0d79442c3ab53b8871707ed700a9bf5d3bdb90dcbbb17d237482fc0
L03,L1,2,4,5,55.898716,29.067622,9.434233,94.400571,229.923812,227.8125,True,,8abe2b885ee3617fef8a8c1beabef13a50bc2662125215799cd80877fd998784
L04,L0,0,2,3,55.898803,0,9.05007,64.948873,177.198983,184.6875,True,,771ae3550a2bbd07f98e06143d6baa989d4c3d22a92f7b1557070f32a736d6f2
L04,L1,0,2,3,55.898803,0,9.05007,64.948873,177.198983,184.5,True,,9185aff86dcc06eeb58b8f26502335faae86034b4d9d669f3e1c99525085e5b2
L05,L0,1,3,4,55.898774,16.769807,9.422422,82.091003,207.775518,208.875,True,,b4d78d53c5a54a3f2042a126cf5e76aa3f417b18bbca056ad076dbe3893310ba
L05,L1,1,3,4,55.898774,16.769807,9.422422,82.091003,207.775518,211.0,True,,8ca26a329cf579d01ca67cc47b6ee561bd7776fc5f7b9f04ff14dfd0d491f7b1
L06,L0,2,4,5,55.898763,29.067588,9.407998,94.374348,229.896344,227.375,False,unit_clearance:primary:child_2;unit_clearance:child_1:child_2,41049e60d332a0813b3b86fbf905f2928653f2fbb9f34035300760224ecb3da8
L06,L1,2,4,5,55.898763,29.067588,9.407998,94.374348,229.896344,228.5,True,,ddfcf411fe79ba02525e4acd3be6bda3bf64b77b367ff69e4c5b04b45749c4bc
L07,L0,0,2,3,68.798463,0,10.510711,79.309174,217.431635,224.375,True,,55b570f549837b86b76c636fd6c49aa9b0d9889b3ac80553af4e19136f34f17b
L07,L1,0,2,3,68.798463,0,10.510711,79.309174,217.431635,223.875,True,,5094a045f1805cb12de8876c285cc0de7d168bdbac1211d028f90bda2ddb5d23
L08,L0,1,3,4,68.79847,20.639801,10.598375,100.036647,254.675346,252.0625,False,unit_clearance:primary:child_1,a87fb6feff0055a65d000ce066ab86737a0133bb1045ba68d71f452ebdd15a23
L08,L1,1,3,4,68.79847,20.639801,10.598375,100.036647,254.675346,254.8125,True,,d0d83f7bb84ebc61374ac5c6768c0eae9fbe1d358515281ae747f07a07f3db23
L09,L0,2,4,5,68.798468,35.775423,11.298844,115.872735,282.654953,281.5,False,unit_clearance:child_1:child_2,4027ffdc142d6c0dcdcb3ba9b15121a077fed09e76974df8fe73f701f72a76d2
L09,L1,2,4,5,68.798468,35.775423,11.298844,115.872735,282.654953,279.1875,True,,b67a100ca7418eaf57df29c2b7cce0d068e924692bc23c839ed3e58d7043b4d5
L10,L0,0,2,3,68.798461,0,10.920768,79.719229,217.86219,225.125,True,,3bf472cbd64ff6d8809ecb283269999f8f47a0721bafb15809112af5b3e8f8c6
L10,L1,0,2,3,68.798461,0,10.920768,79.719229,217.86219,225.125,True,,3bf472cbd64ff6d8809ecb283269999f8f47a0721bafb15809112af5b3e8f8c6
L11,L0,1,3,4,68.798519,20.639738,10.663585,100.101841,254.743848,256.3125,True,,c41554ca6353ea3e44638756bf15f1cfc505a2f0f1e1f9e32fb272a6c0dcbaea
L11,L1,1,3,4,68.798519,20.639738,10.663585,100.101841,254.743848,255.625,True,,60204f8099e71eba6a78372ad9f8a3ca594f4502ec573b1b11a38937fd84a91e
L12,L0,2,4,5,68.798486,35.775665,10.898848,115.472999,282.235446,275.8125,True,,2d1dee742fa254a75e95b78da89dc8d99f2fc02b30427e5c0257a0f79bd18fd6
L12,L1,2,4,5,68.798486,35.775665,10.898848,115.472999,282.235446,275.625,True,,6aaf77ee02c6ecf17ad05a02c175b634d56798b8442e1bc5471e4a053625039a
