prototype_id,family_id,seed,selected_variant,candidate_count,legal_candidate_count,composite_score,self_intersection_count,backbone_crossing_count,pair_crossing_count,periodic_crossing_count,role_completeness_score_raw,role_completeness_score_normalized,role_completeness_score_weight,role_completeness_score_weighted,region_path_score_raw,region_path_score_normalized,region_path_score_weight,region_path_score_weighted,hierarchy_score_raw,hierarchy_score_normalized,hierarchy_score_weight,hierarchy_score_weighted,density_balance_score_raw,density_balance_score_normalized,density_balance_score_weight,density_balance_score_weighted,horizontal_rhythm_score_raw,horizontal_rhythm_score_normalized,horizontal_rhythm_score_weight,horizontal_rhythm_score_weighted,flower_group_score_raw,flower_group_score_normalized,flower_group_score_weight,flower_group_score_weighted,settle_continuity_score_raw,settle_continuity_score_normalized,settle_continuity_score_weight,settle_continuity_score_weighted
proto_sw_3_1,SW3,4101,2,5,5,0.93536588,0,0,0,0,1.0,1.0,0.2,0.2,0.914536749,0.914536749,0.16,0.14632588,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_3_1,SW3,4102,2,5,5,0.93536588,0,0,0,0,1.0,1.0,0.2,0.2,0.914536749,0.914536749,0.16,0.14632588,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_3_1,SW3,4103,2,5,5,0.93536588,0,0,0,0,1.0,1.0,0.2,0.2,0.914536749,0.914536749,0.16,0.14632588,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_1_1,SW1,4101,4,5,2,0.99904,0,0,0,0,1.0,1.0,0.2,0.2,1.0,1.0,0.16,0.16,1.0,1.0,0.1,0.1,1.0,1.0,0.15,0.15,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_1_1,SW1,4102,4,5,2,0.99904,0,0,0,0,1.0,1.0,0.2,0.2,1.0,1.0,0.16,0.16,1.0,1.0,0.1,0.1,1.0,1.0,0.15,0.15,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_1_1,SW1,4103,4,5,2,0.99904,0,0,0,0,1.0,1.0,0.2,0.2,1.0,1.0,0.16,0.16,1.0,1.0,0.1,0.1,1.0,1.0,0.15,0.15,1.0,1.0,0.14,0.14,1.0,1.0,0.17,0.17,0.988,0.988,0.08,0.07904
proto_sw_3_2,SW3,4101,4,5,5,0.830032756,0,0,0,0,1.0,1.0,0.2,0.2,0.560889222,0.560889222,0.16,0.089742276,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.959217715,0.959217715,0.14,0.13429048,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
proto_sw_3_2,SW3,4102,4,5,5,0.830032756,0,0,0,0,1.0,1.0,0.2,0.2,0.560889222,0.560889222,0.16,0.089742276,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.959217715,0.959217715,0.14,0.13429048,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
proto_sw_3_2,SW3,4103,4,5,5,0.830032756,0,0,0,0,1.0,1.0,0.2,0.2,0.560889222,0.560889222,0.16,0.089742276,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.959217715,0.959217715,0.14,0.13429048,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
proto_sw_2_3,SW2,4101,4,5,4,0.64004547,0,0,0,0,1.0,1.0,0.2,0.2,0.756284184,0.756284184,0.16,0.12100547,1.0,1.0,0.1,0.1,0.0,0.0,0.15,0.0,1.0,1.0,0.14,0.14,0.0,0.0,0.17,0.0,0.988,0.988,0.08,0.07904
proto_sw_2_3,SW2,4102,4,5,4,0.64004547,0,0,0,0,1.0,1.0,0.2,0.2,0.756284184,0.756284184,0.16,0.12100547,1.0,1.0,0.1,0.1,0.0,0.0,0.15,0.0,1.0,1.0,0.14,0.14,0.0,0.0,0.17,0.0,0.988,0.988,0.08,0.07904
proto_sw_2_3,SW2,4103,4,5,2,0.64004547,0,0,0,0,1.0,1.0,0.2,0.2,0.756284184,0.756284184,0.16,0.12100547,1.0,1.0,0.1,0.1,0.0,0.0,0.15,0.0,1.0,1.0,0.14,0.14,0.0,0.0,0.17,0.0,0.988,0.988,0.08,0.07904
proto_sw_1_3,SW1,4101,0,5,3,0.87308316,0,0,0,0,1.0,1.0,0.2,0.2,0.938139014,0.938139014,0.16,0.150102242,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.835577986,0.835577986,0.14,0.116980918,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
proto_sw_1_3,SW1,4102,0,5,2,0.87308316,0,0,0,0,1.0,1.0,0.2,0.2,0.938139014,0.938139014,0.16,0.150102242,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.835577986,0.835577986,0.14,0.116980918,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
proto_sw_1_3,SW1,4103,0,5,3,0.87308316,0,0,0,0,1.0,1.0,0.2,0.2,0.938139014,0.938139014,0.16,0.150102242,1.0,1.0,0.1,0.1,0.666666667,0.666666667,0.15,0.1,0.835577986,0.835577986,0.14,0.116980918,1.0,1.0,0.17,0.17,0.45,0.45,0.08,0.036
