review_no,review_file,previous_tier,source_group,original_relative_path,original_full_path,expected_sha256,sample_origin,source_reference
1,001__local_A__Snipaste_2026-04-13_15-35-36.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-35-36.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-35-36.png,25BD3DB646365BC65FC2376376AF80670BB4D5A7E750A05DB80E78B81E443223,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-35-36.png
18,018__local_B__Snipaste_2026-04-18_15-54-50.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-54-50.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-54-50.png,B55A58895BA3B04FAAC6FC6B72EAAB93CB8CE010B4736E2846853AFC547DB7AD,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-54-50.png
21,021__local_B__Snipaste_2026-04-18_15-57-30.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-57-30.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-30.png,FA358C91943E2E7EA2C68B983B3C3E8817D265B6BE91407DC115720CDB5A5CE0,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-30.png
23,023__strict1_A__A01_mogao321_top_scroll.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A01_mogao321_top_scroll.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A01_mogao321_top_scroll.png,09696BEDD271BFC54CDFA168DC4B0B930C1C5EF11C25464E652FDB816D781164,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A01_mogao321_top_scroll.png
27,027__strict1_A__A05_mogao225_lotus_scroll.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A05_mogao225_lotus_scroll.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A05_mogao225_lotus_scroll.png,4193D07B927B34F50CE20483D781BF768D3279F9B6565C7C8FF07965B06A5ACE,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A05_mogao225_lotus_scroll.png
34,034__strict1_B__B04_thesis_mogao319.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B04_thesis_mogao319.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B04_thesis_mogao319.png,FB2FCAECFF48F68DFF1A2FFCD66A1EFBB31C520472AD1AD8E22196D89E487BAC,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B04_thesis_mogao319.png
38,038__strict1_B__B08_thesis_mogao225_dense_row.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B08_thesis_mogao225_dense_row.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B08_thesis_mogao225_dense_row.png,7B619E2B2F13C9A4D3405E9A5D6315D68DBDE68D245B10FD932ED6FF78E38E77,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B08_thesis_mogao225_dense_row.png
40,040__strict2_A__A01_d625113_p16_i02_501x141.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A01_d625113_p16_i02_501x141.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A01_d625113_p16_i02_501x141.png,A900C0EE4A201A346C820787EA972371B493DC4D275ADE85292FF44BA2A1E941,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A01_d625113_p16_i02_501x141.png
43,043__strict2_A__A04_d625113_p24_i01_327x89.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A04_d625113_p24_i01_327x89.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A04_d625113_p24_i01_327x89.png,3D448227CE95F2641461116F9B4F19741795477C79007B14009C9D10CC35FDC3,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A04_d625113_p24_i01_327x89.png
44,044__strict2_A__A05_d625113_p24_i02_340x91.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A05_d625113_p24_i02_340x91.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A05_d625113_p24_i02_340x91.png,959D3FE4C0F675F9E954EF21B38FEC328D521ABB1FAC21C6B5FDB25555636CC9,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A05_d625113_p24_i02_340x91.png
49,049__strict2_A__A11_d625113_p57_i01_539x120.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A11_d625113_p57_i01_539x120.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A11_d625113_p57_i01_539x120.png,138C3B31F11B9F8F9EC3ADC2466F64ABB0A68F3A78B385032A0F774841781447,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A11_d625113_p57_i01_539x120.png
50,050__strict2_A__A13_d625113_p58_i02_369x151.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A13_d625113_p58_i02_369x151.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A13_d625113_p58_i02_369x151.png,8FE5D2BADE79C2B2B145AFBEABB42149431AB07AA8B82FFD25ECF072921EEE58,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A13_d625113_p58_i02_369x151.png
