"merged_id","merged_file","batch","original_file","selection_tier","sample_origin","source_group","source_reference","source_page","rights","visual_note","sha256","bytes","source_path"
"B1-001","B1_001__002__local_A__Snipaste_2026-04-13_15-46-41.png","screened_existing_20260715","002__local_A__Snipaste_2026-04-13_15-46-41.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-41.png","","source rights require review","","b040630b29b61a0fc9146d5ced53b3192b7788a1c292f1ae860f21ffb3546b60","141870","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\002__local_A__Snipaste_2026-04-13_15-46-41.png"
"B1-002","B1_002__003__local_A__Snipaste_2026-04-13_15-46-48.png","screened_existing_20260715","003__local_A__Snipaste_2026-04-13_15-46-48.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-48.png","","source rights require review","","5886c84fb44d9c7f32fdecf6d6169041627eb4b9563c3cd8f0b67dab3d39c738","107843","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\003__local_A__Snipaste_2026-04-13_15-46-48.png"
"B1-003","B1_003__004__local_A__Snipaste_2026-04-13_15-52-22.png","screened_existing_20260715","004__local_A__Snipaste_2026-04-13_15-52-22.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-22.png","","source rights require review","","5c99444653dac88c8c3deb3bc0178d5faeb90ea64863e94e6833008dc1c94475","557245","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\004__local_A__Snipaste_2026-04-13_15-52-22.png"
"B1-004","B1_004__005__local_A__Snipaste_2026-04-13_15-52-38.png","screened_existing_20260715","005__local_A__Snipaste_2026-04-13_15-52-38.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-38.png","","source rights require review","","566c0c2c67d8f6520a369720adc9bf76e72b651d9515e660abd201a7bab71579","790558","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\005__local_A__Snipaste_2026-04-13_15-52-38.png"
"B1-005","B1_005__006__local_A__Snipaste_2026-04-13_15-54-15.png","screened_existing_20260715","006__local_A__Snipaste_2026-04-13_15-54-15.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-15.png","","source rights require review","","799f44a06ab6b38c3e3e2d496705add0252fc5fb7b709d4c8395ae1db1decfcc","105035","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\006__local_A__Snipaste_2026-04-13_15-54-15.png"
"B1-006","B1_006__007__local_A__Snipaste_2026-04-13_15-54-46.png","screened_existing_20260715","007__local_A__Snipaste_2026-04-13_15-54-46.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-46.png","","source rights require review","","d95fa166775ef3a56de34dea548dbc754377f7a398953baacc01cd6e30cdba19","128783","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\007__local_A__Snipaste_2026-04-13_15-54-46.png"
"B1-007","B1_007__008__local_A__Snipaste_2026-04-18_15-52-40.png","screened_existing_20260715","008__local_A__Snipaste_2026-04-18_15-52-40.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-40.png","","source rights require review","","54ef63bbd023495471b521ec9503db1d86fa206cef626103d5960b5fe107abae","54857","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\008__local_A__Snipaste_2026-04-18_15-52-40.png"
"B1-008","B1_008__009__local_A__Snipaste_2026-04-18_15-52-54.png","screened_existing_20260715","009__local_A__Snipaste_2026-04-18_15-52-54.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-54.png","","source rights require review","","83f2d810c365c0080e9d40e680f54a2be71ba9b926a82c1ac1a0bb388aade88f","82004","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\009__local_A__Snipaste_2026-04-18_15-52-54.png"
"B1-009","B1_009__010__local_A__Snipaste_2026-04-18_15-53-00.png","screened_existing_20260715","010__local_A__Snipaste_2026-04-18_15-53-00.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-53-00.png","","source rights require review","","e8ad1bf7f52c7fe41c86647af7aaebecd2e9f5ea8771c08ef152020ec63a5f31","70582","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\010__local_A__Snipaste_2026-04-18_15-53-00.png"
"B1-010","B1_010__011__local_A__Snipaste_2026-04-18_15-55-07.png","screened_existing_20260715","011__local_A__Snipaste_2026-04-18_15-55-07.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-07.png","","source rights require review","","ed646d6db1c7660759554c47d9dd9b45510416fa2038bbd2ad8757ea8673940c","39395","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\011__local_A__Snipaste_2026-04-18_15-55-07.png"
