review_no,review_file,previous_tier,source_group,original_relative_path,original_full_path,expected_sha256,sample_origin,source_reference,screening_status,provenance_status,review_path,bytes,sha256,source_parent_id,notes
2,002__local_A__Snipaste_2026-04-13_15-46-41.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-46-41.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-41.png,B040630B29B61A0FC9146D5CED53B3192B7788A1C292F1AE860F21FFB3546B60,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-41.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\002__local_A__Snipaste_2026-04-13_15-46-41.png,141870,B040630B29B61A0FC9146D5CED53B3192B7788A1C292F1AE860F21FFB3546B60,,
3,003__local_A__Snipaste_2026-04-13_15-46-48.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-46-48.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-48.png,5886C84FB44D9C7F32FDECF6D6169041627EB4B9563C3CD8F0B67DAB3D39C738,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-46-48.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\003__local_A__Snipaste_2026-04-13_15-46-48.png,107843,5886C84FB44D9C7F32FDECF6D6169041627EB4B9563C3CD8F0B67DAB3D39C738,,
4,004__local_A__Snipaste_2026-04-13_15-52-22.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-52-22.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-22.png,5C99444653DAC88C8C3DEB3BC0178D5FAEB90EA64863E94E6833008DC1C94475,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-22.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\004__local_A__Snipaste_2026-04-13_15-52-22.png,557245,5C99444653DAC88C8C3DEB3BC0178D5FAEB90EA64863E94E6833008DC1C94475,,
5,005__local_A__Snipaste_2026-04-13_15-52-38.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-52-38.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-38.png,566C0C2C67D8F6520A369720ADC9BF76E72B651D9515E660ABD201A7BAB71579,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-52-38.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\005__local_A__Snipaste_2026-04-13_15-52-38.png,790558,566C0C2C67D8F6520A369720ADC9BF76E72B651D9515E660ABD201A7BAB71579,,
6,006__local_A__Snipaste_2026-04-13_15-54-15.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-54-15.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-15.png,799F44A06AB6B38C3E3E2D496705ADD0252FC5FB7B709D4C8395AE1DB1DECFCC,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-15.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\006__local_A__Snipaste_2026-04-13_15-54-15.png,105035,799F44A06AB6B38C3E3E2D496705ADD0252FC5FB7B709D4C8395AE1DB1DECFCC,,
7,007__local_A__Snipaste_2026-04-13_15-54-46.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-13_15-54-46.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-46.png,D95FA166775EF3A56DE34DEA548DBC754377F7A398953BAACC01CD6E30CDBA19,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-13_15-54-46.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\007__local_A__Snipaste_2026-04-13_15-54-46.png,128783,D95FA166775EF3A56DE34DEA548DBC754377F7A398953BAACC01CD6E30CDBA19,,
8,008__local_A__Snipaste_2026-04-18_15-52-40.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-52-40.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-40.png,54EF63BBD023495471B521EC9503DB1D86FA206CEF626103D5960B5FE107ABAE,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-40.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\008__local_A__Snipaste_2026-04-18_15-52-40.png,54857,54EF63BBD023495471B521EC9503DB1D86FA206CEF626103D5960B5FE107ABAE,,
9,009__local_A__Snipaste_2026-04-18_15-52-54.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-52-54.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-54.png,83F2D810C365C0080E9D40E680F54A2BE71BA9B926A82C1AC1A0BB388AADE88F,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-52-54.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\009__local_A__Snipaste_2026-04-18_15-52-54.png,82004,83F2D810C365C0080E9D40E680F54A2BE71BA9B926A82C1AC1A0BB388AADE88F,,
10,010__local_A__Snipaste_2026-04-18_15-53-00.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-53-00.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-53-00.png,E8AD1BF7F52C7FE41C86647AF7AAEBECD2E9F5EA8771C08EF152020EC63A5F31,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-53-00.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\010__local_A__Snipaste_2026-04-18_15-53-00.png,70582,E8AD1BF7F52C7FE41C86647AF7AAEBECD2E9F5EA8771C08EF152020EC63A5F31,,
11,011__local_A__Snipaste_2026-04-18_15-55-07.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-55-07.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-07.png,ED646D6DB1C7660759554C47D9DD9B45510416FA2038BBD2AD8757EA8673940C,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-07.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\011__local_A__Snipaste_2026-04-18_15-55-07.png,39395,ED646D6DB1C7660759554C47D9DD9B45510416FA2038BBD2AD8757EA8673940C,,
