review_file,tier,visual_status,visual_reason,source_file,source_page_number,source_page,rights,width,height,sha256
A01__candidate_061__D01448673_tang_ceiling_pattern_p134_i09_x1907_476x61.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_061__D01448673_tang_ceiling_pattern_p134_i09_x1907_476x61.png,134,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,476,61,5b922442eb16f002bc403e8cf1700b513151807ef7a0c23d012baf52aa2a04b3
A02__candidate_068__D01448673_tang_ceiling_pattern_p144_i01_x2016_448x108.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_068__D01448673_tang_ceiling_pattern_p144_i01_x2016_448x108.png,144,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,448,108,636e1e1c2e6f3118dbdb93d29ffe859bf3f07b62ccb015bb09a50ff4061d8897
A03__candidate_070__D01448673_tang_ceiling_pattern_p144_i08_x2023_305x146.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_070__D01448673_tang_ceiling_pattern_p144_i08_x2023_305x146.png,144,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,305,146,a2aa7b5d32b573ba353690b1aabc430c511e976b465248d9da279fa553fdbac4
A04__candidate_076__D01448673_tang_ceiling_pattern_p148_i03_x2080_568x132.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_076__D01448673_tang_ceiling_pattern_p148_i03_x2080_568x132.png,148,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,568,132,af34711939f4dc915c97d3ec1a52b0d72635bcd0a2949154226228979bed0c65
A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png,149,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,283,82,12ebd9a0270fef5907d6237130d2a70e3c7c69877661ccd44d7773525c900eb5
A06__candidate_078__D01448673_tang_ceiling_pattern_p161_i03_x2203_517x95.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_078__D01448673_tang_ceiling_pattern_p161_i03_x2203_517x95.png,161,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,517,95,feda3cc134a4725bda387ed21eab76fd244ad628239c7c6982f71a6832ac78eb
A07__candidate_080__D01448673_tang_ceiling_pattern_p161_i06_x2206_542x105.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_080__D01448673_tang_ceiling_pattern_p161_i06_x2206_542x105.png,161,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,542,105,d2d16de870d19dc9ec23dfdece7b22856fd057bf7c3f71f691b656559229a2d2
A08__candidate_081__D01448673_tang_ceiling_pattern_p161_i07_x2207_561x86.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_081__D01448673_tang_ceiling_pattern_p161_i07_x2207_561x86.png,161,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,561,86,bcf60a11fa812f340eef3e0f9852558ebe5bf0b8a3d80e8ec438b09fbf7a8e02
A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png,162,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,590,78,34d8fbcb6a3085fb7bc4a2e2f5ea16744812a57528b11b8c57813d0c490d797a
A10__candidate_149__D01448673_tang_ceiling_pattern_p230_i02_x2960_491x181.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_149__D01448673_tang_ceiling_pattern_p230_i02_x2960_491x181.png,230,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,491,181,06d2ae9d2e005cd40631e4d81b095594b8170024fcfd39e6828829bfe5ed9b87
