"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","28.6312","22","47","0.6184","0.0614","0.1624","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","27.3455","34","6","0.3529","0.0025","0.2083","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","23.8742","34","49","0.5904","0.1017","0.1342","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","21.9433","28","39","0.7358","0.0942","0.129","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","21.5736","34","39","0.5652","0.0207","0.1288","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","6","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\045__strict2_A__A06_d625113_p32_i00_397x121.png","21.3977","30","65","0.4962","0.1464","0.1112","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","7","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","21.0007","32","2","0.0909","0.002","0.1702","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\AUX_NGA02_flat_flower_vine_border.jpg","8","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC17_large_bouquet_rinceau.jpg","20.0429","30","6","0.4615","0.0024","0.1508","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","26.4826","22","0","0.0","0.0","0.2207","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","26.2183","24","0","0.0","0.0","0.2185","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC10_white_foliage_border.jpg","23.7575","20","0","0.0","0.0","0.198","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC17_large_bouquet_rinceau.jpg","23.5898","32","4","1.0","0.0076","0.1697","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A03__candidate_070__D01448673_tang_ceiling_pattern_p144_i08_x2023_305x146.png","22.5053","26","9","0.6","0.0172","0.1631","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","6","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","21.6539","24","2","0.0","0.0","0.1775","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","7","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","21.2403","32","2","0.0","0.0","0.1741","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r203_baoxiang_flower_scroll.png","8","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","21.0119","32","2","0.0","0.0","0.1722","no"
"D:\sdxl\chanzhi_sw_clean\artifacts\batch4_final_dedup_candidates\r205_chrysanthemum_leaf_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC10_white_foliage_border.jpg","18.7034","30","1","0.0","0.0","0.1546","no"
