"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC01_woven_floral_scroll.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","25.9749","34","54","0.3418","0.2126","0.145","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC01_woven_floral_scroll.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","25.2004","32","23","0.434","0.0232","0.1686","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC01_woven_floral_scroll.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","24.9452","34","8","0.3077","0.0193","0.1881","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC01_woven_floral_scroll.jpg","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","23.9332","34","6","0.2222","0.0029","0.1851","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC01_woven_floral_scroll.jpg","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\091__strict2_B__B23_d01451691_p29_i01_572x149.jpeg","22.907","32","49","0.5568","0.1467","0.1292","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC02_palmette_scroll.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\069__strict2_B__B01_d625113_p16_i00_510x101.png","24.4615","32","5","0.4545","0.0076","0.1856","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC02_palmette_scroll.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","23.7471","28","3","0.1875","0.0016","0.1887","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC02_palmette_scroll.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","23.4825","26","5","0.3571","0.0121","0.1801","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC02_palmette_scroll.jpg","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\045__strict2_A__A06_d625113_p32_i00_397x121.png","23.298","36","12","0.4","0.027","0.1688","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC02_palmette_scroll.jpg","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png","22.5647","34","99","0.825","0.3764","0.1062","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC06_right_rinceaux.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","33.7169","28","11","0.5789","0.0144","0.2414","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC06_right_rinceaux.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","27.3692","36","11","0.3548","0.0111","0.2008","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC06_right_rinceaux.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A09__candidate_082__D01448673_tang_ceiling_pattern_p162_i05_x2220_590x78.png","26.6456","28","17","0.5667","0.0411","0.1831","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC06_right_rinceaux.jpg","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","25.6863","26","3","0.1429","0.0016","0.2053","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC06_right_rinceaux.jpg","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\070__strict2_B__B02_d625113_p16_i01_505x93.png","24.0274","28","4","0.6667","0.0034","0.1793","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC07_acanthus_frieze.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","36.6089","32","4","1.0","0.0021","0.2634","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC07_acanthus_frieze.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","34.3222","26","0","0.0","0.0","0.286","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC07_acanthus_frieze.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","33.4645","32","4","0.6667","0.004","0.2497","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC07_acanthus_frieze.jpg","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","30.0276","32","4","0.8","0.0016","0.2208","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC07_acanthus_frieze.jpg","5","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\069__strict2_B__B01_d625113_p16_i00_510x101.png","28.0841","32","6","0.4","0.0091","0.2128","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC09_architectural_rinceau.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\008__local_A__Snipaste_2026-04-18_15-52-40.png","17.235","30","14","0.3333","0.0137","0.124","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC09_architectural_rinceau.jpg","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\054__strict2_A__A17_d625113_p59_i00_425x81.png","15.8396","36","4","0.4444","0.0075","0.1212","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC09_architectural_rinceau.jpg","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A14__candidate_159__D01448673_tang_ceiling_pattern_p234_i02_x3005_516x86.png","15.8295","26","5","0.625","0.0096","0.1178","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC09_architectural_rinceau.jpg","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU024.png","15.6187","32","5","0.1786","0.0081","0.1223","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC09_architectural_rinceau.jpg","5","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\contact_sheet.jpg","15.3138","30","6","0.3333","0.0024","0.1169","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\open_collection_screened_strips_20260716\AUX_OC10_white_foliage_border.jpg","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","40.7233","26","9","0.3913","0.0117","0.3019","no"
