group,source_image_unit,source_page,candidate_files,candidate_count,core_count,auxiliary_count
CN_WEB_1,baidu_tashuo_scroll_studies.jpg,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,01_CORE_006__CN_WEB_1__CNU007.png;01_CORE_007__CN_WEB_1__CNU008.png;02_AUX_001__CN_WEB_1__CNU006.png,3,2,1
CN_WEB_1,jicai_03.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,02_AUX_003__CN_WEB_1__CNU022.png,1,0,1
CN_WEB_1,jicai_06.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,01_CORE_001__CN_WEB_1__CNU001.png,1,1,0
CN_WEB_1,jicai_07.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,01_CORE_003__CN_WEB_1__CNU003.png,1,1,0
CN_WEB_1,jicai_09.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,01_CORE_002__CN_WEB_1__CNU002.png,1,1,0
CN_WEB_1,jicai_17.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,02_AUX_004__CN_WEB_1__CNU023.png,1,0,1
CN_WEB_1,nipic_honeysuckle_sheet.jpg,https://www.nipic.com/show/48796371.html,01_CORE_008__CN_WEB_1__CNU009.png;01_CORE_009__CN_WEB_1__CNU010.png,2,2,0
CN_WEB_1,sina_01.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,01_CORE_010__CN_WEB_1__CNU011.png;02_AUX_002__CN_WEB_1__CNU012.png,2,1,1
CN_WEB_1,sina_03.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,01_CORE_011__CN_WEB_1__CNU013.png,1,1,0
CN_WEB_1,sina_06.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,01_CORE_012__CN_WEB_1__CNU014.png;01_CORE_013__CN_WEB_1__CNU015.png;01_CORE_014__CN_WEB_1__CNU016.png;01_CORE_015__CN_WEB_1__CNU017.png,4,4,0
CN_WEB_1,sina_07.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,01_CORE_016__CN_WEB_1__CNU018.png;01_CORE_017__CN_WEB_1__CNU019.png;01_CORE_018__CN_WEB_1__CNU020.png;01_CORE_019__CN_WEB_1__CNU021.png,4,4,0
CN_WEB_1,sina_sheet01_1645x1920.jpg,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,01_CORE_004__CN_WEB_1__CNU004.png,1,1,0
CN_WEB_1,sina_sheet04_1645x1920.jpg,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,01_CORE_005__CN_WEB_1__CNU005.png,1,1,0
CN_WEB_1,sohu_02.jpeg,https://www.sohu.com/a/206052358_780733,02_AUX_005__CN_WEB_1__CNU024.png,1,0,1
CN_WEB_2,sina_20230514_03,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,01_CORE_020__CN_WEB_2__R203.png,1,1,0
CN_WEB_2,sina_20230514_04,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,01_CORE_021__CN_WEB_2__R205.png,1,1,0
NGA,NGA artwork 28168 / accession 1943.8.16077,https://www.nga.gov/artworks/28168-wall-paper-border,02_AUX_006__NGA__NGA02.jpg,1,0,1
OPEN_COLLECTION,OC01,"https://commons.wikimedia.org/wiki/File:Drawing,_Design_for_Woven_Horizontal_Border,_1800%E2%80%931830_(CH_18163091).jpg",02_AUX_007__OPEN_COLLECTION__OC01.jpg,1,0,1
OPEN_COLLECTION,OC02,https://www.metmuseum.org/art/collection/search/362199,02_AUX_008__OPEN_COLLECTION__OC02.jpg,1,0,1
OPEN_COLLECTION,OC04,https://www.metmuseum.org/art/collection/search/386403,01_CORE_022__OPEN_COLLECTION__OC04.jpg,1,1,0
OPEN_COLLECTION,OC05,https://www.metmuseum.org/art/collection/search/340739,01_CORE_023__OPEN_COLLECTION__OC05.jpg,1,1,0
OPEN_COLLECTION,OC06,https://www.metmuseum.org/art/collection/search/385102,01_CORE_024__OPEN_COLLECTION__OC06.jpg;02_AUX_009__OPEN_COLLECTION__OC06.jpg,2,1,1
OPEN_COLLECTION,OC07,"https://commons.wikimedia.org/wiki/File:Border_Design_from_a_Classical_Frieze,_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg",02_AUX_010__OPEN_COLLECTION__OC07.jpg,1,0,1
OPEN_COLLECTION,OC08,"https://commons.wikimedia.org/wiki/File:Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s,_Leipzig_1875,_p._11.png",01_CORE_025__OPEN_COLLECTION__OC08.jpg,1,1,0
OPEN_COLLECTION,OC09,https://collection.cooperhewitt.org/view/objects/asitem/id/18526,02_AUX_011__OPEN_COLLECTION__OC09.jpg,1,0,1
OPEN_COLLECTION,OC10,https://collection.cooperhewitt.org/view/objects/asitem/id/25008,02_AUX_012__OPEN_COLLECTION__OC10.jpg,1,0,1
OPEN_COLLECTION,OC11,https://collection.cooperhewitt.org/view/objects/asitem/id/160894,02_AUX_013__OPEN_COLLECTION__OC11.jpg,1,0,1
OPEN_COLLECTION,OC12,https://collection.cooperhewitt.org/view/objects/asitem/id/160590,02_AUX_014__OPEN_COLLECTION__OC12.jpg,1,0,1
OPEN_COLLECTION,OC13,https://collection.cooperhewitt.org/view/objects/asitem/id/149106,02_AUX_015__OPEN_COLLECTION__OC13.jpg,1,0,1
OPEN_COLLECTION,OC14,https://collection.cooperhewitt.org/view/objects/asitem/id/161117,02_AUX_016__OPEN_COLLECTION__OC14.jpg,1,0,1
OPEN_COLLECTION,OC15,https://collection.cooperhewitt.org/view/objects/asitem/id/161146,02_AUX_017__OPEN_COLLECTION__OC15.jpg,1,0,1
OPEN_COLLECTION,OC16,https://collection.cooperhewitt.org/view/objects/asitem/id/161106,02_AUX_018__OPEN_COLLECTION__OC16.jpg,1,0,1
OPEN_COLLECTION,OC17,https://collection.cooperhewitt.org/view/objects/asitem/id/160769,02_AUX_019__OPEN_COLLECTION__OC17.jpg,1,0,1
OPEN_COLLECTION,OC18,https://collection.cooperhewitt.org/view/objects/asitem/id/161113,02_AUX_020__OPEN_COLLECTION__OC18.jpg,1,0,1
OPEN_COLLECTION,OC19,https://collection.cooperhewitt.org/view/objects/asitem/id/149108,02_AUX_021__OPEN_COLLECTION__OC19.jpg,1,0,1
OPEN_COLLECTION,OC20,https://collection.cooperhewitt.org/view/objects/asitem/id/161112,02_AUX_022__OPEN_COLLECTION__OC20.jpg,1,0,1
OPEN_COLLECTION,OC21,https://collection.cooperhewitt.org/view/objects/asitem/id/110212,02_AUX_023__OPEN_COLLECTION__OC21.jpg,1,0,1
