"file","source_pdf","source_page","xref","pixel_width","pixel_height","aspect","page_rects","sha256"
"D01779698_rendong_pattern_p032_i03_x195_456x268.png","D01779698_rendong_pattern.pdf","32","195","456","268","1.7015","Rect(363.4800109863281, 458.1600036621094, 512.8800048828125, 545.760009765625)","d89e89238c64c23bc62f9269c2ba43ac863c0da93839be1edff6d9fc50318fd8"
"D01779698_rendong_pattern_p032_i04_x196_928x130.png","D01779698_rendong_pattern.pdf","32","196","928","130","7.1385","Rect(99.23999786376953, 267.47998046875, 504.5999755859375, 324.239990234375)","0e59d7503b25fdc0c8ae5ec4ba9e0ce422aebae06134d098f16b84ddb2121d33"
"D01779698_rendong_pattern_p033_i01_x200_590x96.png","D01779698_rendong_pattern.pdf","33","200","590","96","6.1458","Rect(98.16000366210938, 85.80000305175781, 514.5599975585938, 153.60000610351562)","fd6d81574e53d99bf2487493ef7698c3f22b490f3aeb05b90a089928c55009eb"
"D01779698_rendong_pattern_p034_i02_x207_1091x253.png","D01779698_rendong_pattern.pdf","34","207","1091","253","4.3123","Rect(92.4000015258789, 303.719970703125, 495.6000061035156, 397.0799560546875)","83c107f233748e222e1ccb4066cb0dfa95477d6f79ffe5645e769103c5ae7fef"
"D01779698_rendong_pattern_p035_i00_x210_1228x403.png","D01779698_rendong_pattern.pdf","35","210","1228","403","3.0471","Rect(97.19999694824219, 463.55999755859375, 498.96002197265625, 595.4400024414062)","d4f4b83eca0d3072efc96e475eae07fae7802d3e820c5ee5880ad268d28c7e3d"
"D01779698_rendong_pattern_p035_i01_x211_1204x315.png","D01779698_rendong_pattern.pdf","35","211","1204","315","3.8222","Rect(101.76000213623047, 618.5999755859375, 494.52001953125, 721.3199462890625)","41f96fcfe4920f62f2d789e0804bc2b0c8acdd0deea1755cfe8e25464d078202"
"D01779698_rendong_pattern_p035_i02_x212_1205x408.png","D01779698_rendong_pattern.pdf","35","212","1205","408","2.9534","Rect(99.12000274658203, 106.55999755859375, 493.55999755859375, 240.1199951171875)","960b9fd06d7d1bbc54a457ac1867434a508c464468348c0f9c87f51a593add20"
"D01779698_rendong_pattern_p035_i03_x213_1268x208.png","D01779698_rendong_pattern.pdf","35","213","1268","208","6.0962","Rect(88.80000305175781, 264.1199951171875, 503.8800048828125, 332.1600036621094)","0f893a5ee7ca052ef1116dbcaa881ab597f8912abc189923c5addd5076866aa4"
"D01779698_rendong_pattern_p036_i00_x216_1202x498.png","D01779698_rendong_pattern.pdf","36","216","1202","498","2.4137","Rect(104.4000015258789, 269.0400085449219, 497.7599792480469, 431.8800048828125)","134f4bfac79981bb0510c9baaa753eeba8d4afd6136ec65d53bd1dcda53b4ffc"
"D01779698_rendong_pattern_p036_i01_x217_1220x253.png","D01779698_rendong_pattern.pdf","36","217","1220","253","4.8221","Rect(104.4000015258789, 457.32000732421875, 503.7599792480469, 540.1199951171875)","8c9f9a2fd0c6bb3370d19e2fbc14fcd59e65dbaff451fa8ab9d4d5e8caef4dbe"
"D01779698_rendong_pattern_p037_i01_x221_1224x279.png","D01779698_rendong_pattern.pdf","37","221","1224","279","4.3871","Rect(100.91999816894531, 474.5999755859375, 501.47998046875, 565.7999877929688)","07bd6ba3acb8f9f24840b973f3df9d0ffa8f03bc7b845f393e0944b8c52f70d0"
"D01779698_rendong_pattern_p037_i02_x222_1227x275.png","D01779698_rendong_pattern.pdf","37","222","1227","275","4.4618","Rect(100.44000244140625, 568.7999877929688, 501.9599914550781, 658.6799926757812)","ab2ff1a1c0527754c6735d63d0b5b2f6b3d28746ac00699383c17919d68f86ae"
"D01779698_rendong_pattern_p043_i00_x261_1281x318.png","D01779698_rendong_pattern.pdf","43","261","1281","318","4.0283","Rect(91.31999969482422, 81.35999298095703, 510.6000061035156, 185.39999389648438)","6f3d97901d66aca3104446ac6d3ed902c6a19cc7451b46184129baed6a9130b2"
"D01779698_rendong_pattern_p061_i00_x374_1023x361.png","D01779698_rendong_pattern.pdf","61","374","1023","361","2.8338","Rect(132.47999572753906, 87.36000061035156, 467.15997314453125, 205.55999755859375)","99453f970e79f2eaf236e149f96d6c9de1a6d4612ee0ee29d9ca82ff92329cad"
"D01779698_rendong_pattern_p061_i01_x375_1039x352.png","D01779698_rendong_pattern.pdf","61","375","1039","352","2.9517","Rect(129.72000122070312, 229.3199920654297, 469.9200134277344, 344.3999938964844)","50550bdfc4f27b3ff234c07dc1a85970e61102767ce10643a4fd1193f7d08754"
"D01779698_rendong_pattern_p061_i02_x376_1067x350.png","D01779698_rendong_pattern.pdf","61","376","1067","350","3.0486","Rect(125.16000366210938, 369.9599914550781, 474.239990234375, 484.55999755859375)","2b00428c077ff25b6b68d1c7ec2891e433db9960cec4fb46072909377c52503c"
"D01779698_rendong_pattern_p061_i03_x377_1084x449.png","D01779698_rendong_pattern.pdf","61","377","1084","449","2.4143","Rect(122.4000015258789, 509.760009765625, 477.1199951171875, 656.6400146484375)","c47744beb27c8a97b0b2177cb6f58c09063e1d43075a0c3424302e8759ee0dc6"
