"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","13.5647","28","0","0.0","0.0","0.113","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","13.1852","30","0","0.0","0.0","0.1099","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png","13.1661","34","0","0.0","0.0","0.1097","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","4","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\011__local_A__Snipaste_2026-04-18_15-55-07.png","12.6898","30","0","0.0","0.0","0.1057","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","5","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","12.1585","26","0","0.0","0.0","0.1013","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","6","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","12.1585","26","0","0.0","0.0","0.1013","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","7","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A16__candidate_161__D01448673_tang_ceiling_pattern_p234_i04_x3007_420x200.png","12.1307","32","0","0.0","0.0","0.1011","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r201_camellia_looped_vine.png","8","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU004.png","12.0664","38","92","0.5444","0.2312","0.058","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r202_pomegranate_chrysanthemum_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","177.2378","8","249","0.6898","0.3891","0.8236","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r202_pomegranate_chrysanthemum_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","26.1035","30","0","0.0","0.0","0.2175","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_round2_20260716\crops\r202_pomegranate_chrysanthemum_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","25.4809","36","2","0.0","0.0","0.2089","no"
