source_key,source_page,direct_url,rights_note,filename,size,status
sina_20230514_01,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/2111-6b681279d6bc869359709a1fdd7c89a9.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_01.jpg,700x817,existing
sina_20230514_02,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/21c1-bf356f1aac8238015d6fb85abceac21f.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_02.jpg,700x817,existing
sina_20230514_03,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/6611-7185846593e60e81d96b6b761f600637.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_03.jpg,700x817,existing
sina_20230514_04,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/f74e-a84b6995a64c6eb0f8900cea0f764aaf.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_04.jpg,700x817,existing
sina_20230514_05,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/fcb6-c4d9c61106cd06461781648222eefbcd.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_05.jpg,700x817,existing
sina_20230514_06,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/478e-5c930f71d7b0351d8e9f258f74d5ef9a.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_06.jpg,700x817,existing
sina_20230514_07,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/e114-fe3f1c3404045f917d0b7597751bfede.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_07.jpg,700x817,existing
sina_20230514_08,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/111a-6a7c8a1588df25e6ddaea23bceb2e4b4.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_08.jpg,700x817,existing
sina_20230514_09,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/5fb8-90de6f362aa52859ab728cb0f57969bb.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,sina_20230514_09.jpg,700x817,existing
sohu_daguan_20241021_01,https://www.sohu.com/a/818645845_120910862,https://q6.itc.cn/images01/20241021/9ffd27496b5145ec8f1ab9045bb6cf67.jpeg,Guangdong Daguan Museum article via Sohu; research screening only,sohu_daguan_20241021_01.jpg,989x412,existing
sohu_daguan_20241021_02,https://www.sohu.com/a/818645845_120910862,https://q5.itc.cn/images01/20241021/08553a98a0c142b6bcb43957f39e6019.jpeg,Guangdong Daguan Museum article via Sohu; research screening only,sohu_daguan_20241021_02.jpg,640x251,existing
sohu_daguan_20241021_03,https://www.sohu.com/a/818645845_120910862,https://q1.itc.cn/images01/20241021/3176df5675c5484a97bb4cf3e8dbd3da.jpeg,Guangdong Daguan Museum article via Sohu; research screening only,sohu_daguan_20241021_03.jpg,635x491,existing
