id,file,source_key,source_page,direct_url,original_file,crop_box,crop_label,source_size,crop_size,visual_grade,structure_note,recommendation,rights_note,sha256
CN01,cn01_jicai_looped_leaf_vine.png,jicai_loop,https://www.jicaizhipin.com/a/news/printingdesign/235.html,https://www.jicaizhipin.com/uploads/allimg/250418/141S42K3-2.jpg,jicai_141S42K3-2.jpg,"0,0,952,184",whole strip,952x184,952x184,A,Looped S-vine with attached paired leaves,core; clear trunk and repeated branch attachment,ColorPax page; no open licence found; research candidate only,0dff61ea3d41896279e08e52c8635f43fe8a5c917cce304ede8532f833481a7f
CN02,cn02_jicai_crossed_s_vine.png,jicai_cross,https://www.jicaizhipin.com/a/news/printingdesign/235.html,https://www.jicaizhipin.com/uploads/allimg/250418/141S43059-3.jpg,jicai_141S43059-3.jpg,"0,0,952,201",whole strip,952x201,952x201,A,Crossed S-stems with large alternating leaves,core; useful for crossing and parent-child labels,ColorPax page; no open licence found; research candidate only,111764c4d05459f14e242a29811b52ce00a9f1d6c090446799ad0bcfde643e51
CN03,cn03_jicai_large_leaf_s_vine.png,jicai_svine,https://www.jicaizhipin.com/a/news/printingdesign/235.html,https://www.jicaizhipin.com/uploads/allimg/250418/141S42R4-5.jpg,jicai_141S42R4-5.jpg,"0,0,1080,201",whole strip,1080x201,1080x201,A,Long crossed S-vine with large side leaves,core; strong long-range flow,ColorPax page; no open licence found; research candidate only,d59e96e1a807a1956198f840f3e2afe6d6e5263cb930faa2f165330dbb3add40
CN04,cn04_sina_sheet01_row01_camellia.png,sina_sheet01,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,https://n.sinaimg.cn/sinakd20114/365/w1645h1920/20230817/562d-661b0621fe664d7e75d1f5995db6252f.jpg,sina_sheet01_1645x1920.jpg,"47,106,1598,434",row 1 / 山茶花边,1645x1920,1551x328,A,Large looped flower vine,core; keep flowers as terminal nodes,Sina / uploader '三个设计师'; no open licence found; research candidate only,bf76d89b863243387539877b9f6856000b40c2b43abede25b44706e1c077727e
CN05,cn05_sina_sheet01_row03_camellia.png,sina_sheet01,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,https://n.sinaimg.cn/sinakd20114/365/w1645h1920/20230817/562d-661b0621fe664d7e75d1f5995db6252f.jpg,sina_sheet01_1645x1920.jpg,"47,892,1598,1244",row 3 / 山茶花边,1645x1920,1551x352,A,Simpler wavy flower-bearing branch,core; easier first-pass annotation,Sina / uploader '三个设计师'; no open licence found; research candidate only,425b5f33372a3802941c1db9a90c82e45bba3547d43d96b107d1493f7fe9bb5f
CN06,cn06_sina_sheet03_row02_apricot.png,sina_sheet03,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,https://n.sinaimg.cn/sinakd20114/365/w1645h1920/20230817/791b-b5677d8cf6b5c5b70fcf09817b49c7c4.jpg,sina_sheet03_1645x1920.jpg,"47,422,1598,645",row 2 / 杏花边,1645x1920,1551x223,A,Open wave vine with regularly spaced flowers,core; clean branch and flower-position supervision,Sina / uploader '三个设计师'; no open licence found; research candidate only,3387cfdb3b26f2ce673eebdd73d927c21f0ebaaa366a6f0b7e4c77dbfb0ec79d
CN07,cn07_sina_sheet03_row03_chrysanthemum.png,sina_sheet03,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,https://n.sinaimg.cn/sinakd20114/365/w1645h1920/20230817/791b-b5677d8cf6b5c5b70fcf09817b49c7c4.jpg,sina_sheet03_1645x1920.jpg,"47,763,1598,974",row 3 / 菊花边,1645x1920,1551x211,A,"Flower, leaf and spiral hierarchy on one continuous stem",core; strongest hierarchy among Sina rows,Sina / uploader '三个设计师'; no open licence found; research candidate only,fee887e90786a8b614412386f88f31e59c59cb5fc9f726386e3da13674351b83
CN08,cn08_sina_sheet04_row02_lotus.png,sina_sheet04,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,https://n.sinaimg.cn/sinakd20114/365/w1645h1920/20230817/7e78-3f4fb7ae82d218617e58ae3c9a8619ab.jpg,sina_sheet04_1645x1920.jpg,"47,516,1598,822",row 2 / 番莲花边,1645x1920,1551x306,A,Repeated looped lotus vine,core; useful closed-loop topology,Sina / uploader '三个设计师'; no open licence found; research candidate only,db3b1dd159cb31201588d98498652ea10b4273beda410a9b0c373a4499624d78
CN09,cn09_baidu_flower_loop_row.png,baidu_scroll_studies,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,https://bkimg.cdn.bcebos.com/pic/30adcbef76094b36acaf8cbd19816bd98d1001e93707,baidu_tashuo_scroll_studies.jpg,"120,680,1125,820",first line-drawing row below photo,1242x1800,1005x140,B,Flowers and leaves enclosed by repeated vine loops,auxiliary; topology is valid but dense,Baidu TA说 / author 庭兰瓷语; attribution requested for reprints; no open licence found,2aca2fa0241acf6fbba950089ca404b1125bf06bd0b59eecd6717cd46b338b4d
CN10,cn10_baidu_grape_s_vine.png,baidu_scroll_studies,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,https://bkimg.cdn.bcebos.com/pic/30adcbef76094b36acaf8cbd19816bd98d1001e93707,baidu_tashuo_scroll_studies.jpg,"120,820,1125,915",second line-drawing row below photo,1242x1800,1005x95,A,Grape clusters and leaves alternating on an S-vine,core; high-value grape hierarchy,Baidu TA说 / author 庭兰瓷语; attribution requested for reprints; no open licence found,90dfddff8f4942b2dd71e50804dca261b8d62fd2c951d6155ef1651f86604def
