"source_id","source_title","source_file","output_file","tier","decision","independent_source_count","crop_pixels","rotation_degrees_ccw","source_page","direct_image_url","rights","reason"
"OC01","Design for Woven Horizontal Border","OC01_core.jpg","AUX_OC01_woven_floral_scroll.jpg","auxiliary","kept","1","61,64,4035,1507","0","https://commons.wikimedia.org/wiki/File:Drawing,_Design_for_Woven_Horizontal_Border,_1800%E2%80%931830_(CH_18163091).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/Drawing%2C_Design_for_Woven_Horizontal_Border%2C_1800%E2%80%931830_%28CH_18163091%29.jpg","Public Domain","flat colour drawing; clear repeated floral scroll, reconstruction reference only"
"OC02","Design for a Decorative Frieze","OC02_core.jpg","AUX_OC02_palmette_scroll.jpg","auxiliary","kept","1","116,129,3757,1449","0","https://www.metmuseum.org/art/collection/search/362199","https://images.metmuseum.org/CRDImages/dp/original/DP809214.jpg","CC0","monochrome line drawing, but palmettes dominate and the parent-child vine hierarchy is weak"
"OC03","Frieze with Acanthus Scrolls and Vase","OC03_core.jpg","","rejected","rejected","0","","0","https://commons.wikimedia.org/wiki/File:Design_for_a_Frieze_with_Acanthus_Scrolls_and_a_Vase_in_the_Center_MET_DP833529.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP833529.jpg","CC0","rejected: central vase and paired animals interrupt and dominate the plant-scroll hierarchy"
"OC04","Design for Frieze of Foliage","OC04_core.jpg","CORE_OC04_foliage_frieze.jpg","core","kept","1","195,156,3710,1637","0","https://www.metmuseum.org/art/collection/search/386403","https://images.metmuseum.org/CRDImages/dp/original/DP804853.jpg","CC0","monochrome foliage scroll with traceable central and lateral branches"
"OC05","Design of Rinceaux","OC05_core.jpg","CORE_OC05_rinceaux_inner_band.jpg","core","kept","1","431,393,3562,1034","0","https://www.metmuseum.org/art/collection/search/340739","https://images.metmuseum.org/CRDImages/dp/original/DP810375.jpg","CC0","monochrome continuous vine; outer presentation frames removed"
"OC06","Two Decorative Borders in Strapwork and Rinceaux","OC06_core.jpg","AUX_OC06_right_rinceaux.jpg","auxiliary","kept","0","1506,562,2181,3220","90","https://www.metmuseum.org/art/collection/search/385102","https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg","CC0","right vertical plant-scroll study rotated into a horizontal strip; architectural framework weakens the plant hierarchy; same source as OC06 left"
"OC06","Two Decorative Borders in Strapwork and Rinceaux","OC06_core.jpg","CORE_OC06_left_rinceaux.jpg","core","kept","1","493,524,1350,3257","90","https://www.metmuseum.org/art/collection/search/385102","https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg","CC0","left vertical plant-scroll study rotated into a horizontal strip"
"OC07","Classical Frieze with Vines and Leaves","OC07_core.jpg","AUX_OC07_acanthus_frieze.jpg","auxiliary","kept","1","39,329,3842,1212","0","https://commons.wikimedia.org/wiki/File:Border_Design_from_a_Classical_Frieze,_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP804426.jpg","CC0","monochrome continuous acanthus band, but dense leaf masses obscure the main stem"
"OC08","Leipzig 1875 Floral Ornament","OC08_core.png","CORE_OC08_leipzig_flower_vine.jpg","core","kept","1","71,20,7037,978","0","https://commons.wikimedia.org/wiki/File:Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s,_Leipzig_1875,_p._11.png","https://upload.wikimedia.org/wikipedia/commons/3/3a/Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s%2C_Leipzig_1875%2C_p._11.png","Public Domain","high-contrast black linework with interlaced stems, flowers, and secondary curls"
"OC09","Frieze with Rinceau","OC09_core.jpg","AUX_OC09_architectural_rinceau.jpg","auxiliary","kept","1","123,216,3973,1510","0","https://collection.cooperhewitt.org/view/objects/asitem/id/18526","https://images.collection.cooperhewitt.org/192206_72b1da0ebd77aa75_x.jpg","CC0","monochrome acanthus rinceau, but architectural, vessel, and fruit details weaken direct structural use"
