file,object_id,title,object_name,classification,medium,date,culture,source_page,image_url,rights
met_334058.jpg,334058,"Illustrated Tariff of the Improved Papier-Mâché Picture Frames, also, Enriched Mouldings, made by machinery in twelve feet lengths, without join",Book ; Ornament and architecture,Books,"Illustrations: wood engraving, lithographs",[about 1847],,https://www.metmuseum.org/art/collection/search/334058,https://images.metmuseum.org/CRDImages/dp/web-large/DP207381.jpg,The Met Open Access; Public Domain
met_336023.jpg,336023,Ornamental Design,Drawing,Drawings,Pen and brown ink; border in brush and brown wash,ca. 1694,,https://www.metmuseum.org/art/collection/search/336023,https://images.metmuseum.org/CRDImages/dp/web-large/DP800557.jpg,The Met Open Access; Public Domain
met_336169.jpg,336169,Foliate Ornament,Print,Prints,Engraving,ca. 1465–90,,https://www.metmuseum.org/art/collection/search/336169,https://images.metmuseum.org/CRDImages/dp/web-large/DP819997.jpg,The Met Open Access; Public Domain
met_336532.jpg,336532,The Infant Saint John the Baptist with the Infant Christ in the Wilderness (recto); Fragment of Architectural Design with Engaged Corinthian Columns (verso),Drawing,Drawings,"Pen and light brown ink, selectively reinforced with dark brown ink, over black chalk underdrawing. Border lines in the same brown ink (recto). Fragment of architectural design with engaged Corinthian columns. Pen and light brown ink over ruling in black chalk (verso). On off-white paper",ca. 1700–50,,https://www.metmuseum.org/art/collection/search/336532,https://images.metmuseum.org/CRDImages/dp/web-large/DP800525.jpg,The Met Open Access; Public Domain
met_340247.jpg,340247,Design for a Ceiling Painting,Drawing,Drawings,Black chalk; squared (with numbers along left border) in black chalk,18th century,,https://www.metmuseum.org/art/collection/search/340247,https://images.metmuseum.org/CRDImages/dp/web-large/DP803008.jpg,The Met Open Access; Public Domain
met_343264.jpg,343264,Design for a Church Ceiling,Drawing,Drawings,"Pen and brown ink, brush and brown, gray, and colored was (red, blue and green), over traces of black chalk; Border in pen and brown ink",1700–1762,,https://www.metmuseum.org/art/collection/search/343264,https://images.metmuseum.org/CRDImages/dp/web-large/DP801599.jpg,The Met Open Access; Public Domain
met_343300.jpg,343300,Study for an Ornamental Panel,Drawing,Drawings,"Pen and gray ink, brush and wash, black chalk. Border lines in black chalk.",n.d.,,https://www.metmuseum.org/art/collection/search/343300,https://images.metmuseum.org/CRDImages/dp/web-large/DP808389.jpg,The Met Open Access; Public Domain
met_355281.jpg,355281,Mascarade à la Grecque; Suite des Vases; and [Cheminées],Book Ornament & Architecture,Books,Etching,"1771, 1764",,https://www.metmuseum.org/art/collection/search/355281,https://images.metmuseum.org/CRDImages/dp/web-large/DP104573.jpg,The Met Open Access; Public Domain
met_363553.jpg,363553,Floral Border Design,Drawing ; Ornament and architecture,Drawings,Watercolor over pen and brown ink with touches of gold and gouache (bodycolor),1830–62,,https://www.metmuseum.org/art/collection/search/363553,https://images.metmuseum.org/CRDImages/dp/web-large/DP801150.jpg,The Met Open Access; Public Domain
met_363562.jpg,363562,"Illuminated Leaf with Initial ""E"" (recto); Vine Border (verso)",Drawing ; Ornament and architecture,Drawings,"Recto: pen and colored inks over graphite with touches of gold and gouache (bodycolor)
Verso: pen and black and red ink, graphite",1830–62,,https://www.metmuseum.org/art/collection/search/363562,https://images.metmuseum.org/CRDImages/dp/web-large/DP801147.jpg,The Met Open Access; Public Domain
met_363568.jpg,363568,Decorated Border,Drawing ; Ornament and architecture,Drawings,Watercolor and gouache (bodycolor),1830–62,,https://www.metmuseum.org/art/collection/search/363568,https://images.metmuseum.org/CRDImages/dp/web-large/DP805663.jpg,The Met Open Access; Public Domain
met_363569.jpg,363569,Decorated Border,Drawing ; Ornament and architecture,Drawings,Watercolor and gouache (bodycolor),1830–62,,https://www.metmuseum.org/art/collection/search/363569,https://images.metmuseum.org/CRDImages/dp/web-large/DP805662.jpg,The Met Open Access; Public Domain
met_363599.jpg,363599,"Ornamental Lion Composed of Scrolls, Holding Pens",Drawing  ; Ornament and Architecture,Drawings,Pen and ink,18th century,,https://www.metmuseum.org/art/collection/search/363599,https://images.metmuseum.org/CRDImages/dp/web-large/DP820962.jpg,The Met Open Access; Public Domain
met_367190.jpg,367190,Classical Molding with Human Head at the Center Surrounded by Leaves and Vines,Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367190,https://images.metmuseum.org/CRDImages/dp/web-large/DP804422.jpg,The Met Open Access; Public Domain
met_367191.jpg,367191,"Classical Molding with Human Head, Leaves, Vines and Empty Roundels (recto); Detail of Classical Molding with Eagle In front of a Wreath with Ribbon Below (verso)",Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367191,https://images.metmuseum.org/CRDImages/dp/web-large/DP804416.jpg,The Met Open Access; Public Domain
met_367192.jpg,367192,Classical Border Elements with Vines and Leaves,Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367192,https://images.metmuseum.org/CRDImages/dp/web-large/DP804433.jpg,The Met Open Access; Public Domain
met_367193.jpg,367193,Classical Design Element with Leaves and Vines,Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367193,https://images.metmuseum.org/CRDImages/dp/web-large/DP804418.jpg,The Met Open Access; Public Domain
met_367194.jpg,367194,"Border Design from a Classical Frieze, Decorated with Vines and Leaves",Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367194,https://images.metmuseum.org/CRDImages/dp/web-large/DP804426.jpg,The Met Open Access; Public Domain
met_367203.jpg,367203,"Three Frieze Designs with Young Satyrs, Leaves, Vines, and Putti",Drawing ; Ornament and Architecture,Drawings,Graphite,1776–79,,https://www.metmuseum.org/art/collection/search/367203,https://images.metmuseum.org/CRDImages/dp/web-large/DP804424.jpg,The Met Open Access; Public Domain
