"id","tier","title","filename","source_page","requested_image_url","direct_image_url","rights","content_type","status"
"OC01","core","Design for Woven Horizontal Border","OC01_core.jpg","https://commons.wikimedia.org/wiki/File:Drawing,_Design_for_Woven_Horizontal_Border,_1800%E2%80%931830_(CH_18163091).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/Drawing%2C_Design_for_Woven_Horizontal_Border%2C_1800%E2%80%931830_%28CH_18163091%29.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/Drawing%2C_Design_for_Woven_Horizontal_Border%2C_1800%E2%80%931830_%28CH_18163091%29.jpg","Public Domain","image/jpeg","downloaded"
"OC02","core","Design for a Decorative Frieze","OC02_core.jpg","https://www.metmuseum.org/art/collection/search/362199","https://images.metmuseum.org/CRDImages/dp/original/DP809214.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP809214.jpg","CC0","image/jpeg","downloaded"
"OC03","core","Frieze with Acanthus Scrolls and Vase","OC03_core.jpg","https://commons.wikimedia.org/wiki/File:Design_for_a_Frieze_with_Acanthus_Scrolls_and_a_Vase_in_the_Center_MET_DP833529.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP833529.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP833529.jpg","CC0","image/jpeg","downloaded"
"OC04","core","Design for Frieze of Foliage","OC04_core.jpg","https://www.metmuseum.org/art/collection/search/386403","https://images.metmuseum.org/CRDImages/dp/original/DP804853.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP804853.jpg","CC0","image/jpeg","downloaded"
"OC05","core","Design of Rinceaux","OC05_core.jpg","https://www.metmuseum.org/art/collection/search/340739","https://images.metmuseum.org/CRDImages/dp/original/DP810375.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP810375.jpg","CC0","image/jpeg","downloaded"
"OC06","core","Two Decorative Borders in Strapwork and Rinceaux","OC06_core.jpg","https://www.metmuseum.org/art/collection/search/385102","https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg","CC0","image/jpeg","downloaded"
"OC07","core","Classical Frieze with Vines and Leaves","OC07_core.jpg","https://commons.wikimedia.org/wiki/File:Border_Design_from_a_Classical_Frieze,_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP804426.jpg","https://images.metmuseum.org/CRDImages/dp/original/DP804426.jpg","CC0","image/jpeg","downloaded"
"OC08","core","Leipzig 1875 Floral Ornament","OC08_core.png","https://commons.wikimedia.org/wiki/File:Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s,_Leipzig_1875,_p._11.png","https://upload.wikimedia.org/wikipedia/commons/3/3a/Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s%2C_Leipzig_1875%2C_p._11.png","https://upload.wikimedia.org/wikipedia/commons/3/3a/Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s%2C_Leipzig_1875%2C_p._11.png","Public Domain","image/png","downloaded after rate-limit retry"
"OC09","core","Frieze with Rinceau","OC09_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/18526","https://ids.si.edu/ids/deliveryService?id=CHSDM-D7A83E3243B12-000001.jpg","https://images.collection.cooperhewitt.org/192206_72b1da0ebd77aa75_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
"OC10","core","Fabrique de St. Ruf Horizontal Border","OC10_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/25008","https://ids.si.edu/ids/deliveryService?id=CHSDM-8572E4D83A4F2-000001.jpg","https://images.collection.cooperhewitt.org/127237_e16b132c44f24fbb_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
"OC11","core","Acanthus Rinceau with Floral Band","OC11_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/160894","https://ids.si.edu/ids/deliveryService?id=CHSDM-160894_01.jpg","https://images.collection.cooperhewitt.org/96005_a2c645a4e23628f7_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
"OC12","core","Acanthus Rinceau with Rose Motif","OC12_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/160590","https://ids.si.edu/ids/deliveryService?id=CHSDM-160590_01-000001.jpg","https://images.collection.cooperhewitt.org/136611_708c474c0fd1bdf5_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
"OC13","core","Acanthus Rinceau with Flowers","OC13_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/149106","https://ids.si.edu/ids/deliveryService?id=CHSDM-1972-42-35MattFlynn.jpg","https://images.collection.cooperhewitt.org/44375_9f119b4997ed5776_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
"OC14","core","Linked Floral and Foliate Scrolls","OC14_core.jpg","https://collection.cooperhewitt.org/view/objects/asitem/id/161117","https://ids.si.edu/ids/deliveryService?id=CHSDM-161117_01-000001.jpg","https://images.collection.cooperhewitt.org/109536_29971d6215869ff2_x.jpg","CC0","image/jpeg","downloaded; IDS rejected, used Cooper Hewitt source-page image (unexpected Content-Type 'text/html')"
