id,filename,title,source_page,image_url,original_width,original_height,status,error
JPI001,JPI001.jpg,File:Shin-bijutsukai vol1 0006.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Shin-bijutsukai_vol1_0006.jpg/1920px-Shin-bijutsukai_vol1_0006.jpg,3545,5364,ok,
JPI002,JPI002.jpg,File:Shin-bijutsukai vol1 0017.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Shin-bijutsukai_vol1_0017.jpg/1920px-Shin-bijutsukai_vol1_0017.jpg,3226,4950,ok,
JPI003,JPI003.jpg,File:Shin-bijutsukai vol1 0026.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Shin-bijutsukai_vol1_0026.jpg/1920px-Shin-bijutsukai_vol1_0026.jpg,3467,5358,ok,
JPI004,JPI004.jpg,File:Shin-bijutsukai vol1 0088.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0088.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Shin-bijutsukai_vol1_0088.jpg/1920px-Shin-bijutsukai_vol1_0088.jpg,3352,5227,ok,
JPI005,JPI005.jpg,File:Shin-bijutsukai vol1 0098.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0098.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Shin-bijutsukai_vol1_0098.jpg/1920px-Shin-bijutsukai_vol1_0098.jpg,3316,5227,ok,
JPI006,JPI006.jpg,File:Shin-bijutsukai vol1 0116.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0116.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Shin-bijutsukai_vol1_0116.jpg/1920px-Shin-bijutsukai_vol1_0116.jpg,3346,5190,ok,
JPI007,JPI007.jpg,File:Shin-bijutsukai vol1 0141.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0141.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Shin-bijutsukai_vol1_0141.jpg/1920px-Shin-bijutsukai_vol1_0141.jpg,3189,5040,ok,
JPI008,JPI008.jpg,File:Shin-bijutsukai vol1 0165.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0165.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Shin-bijutsukai_vol1_0165.jpg/1920px-Shin-bijutsukai_vol1_0165.jpg,3228,5058,ok,
JPI009,JPI009.jpg,File:Shin-bijutsukai vol1 0167.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0167.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Shin-bijutsukai_vol1_0167.jpg/1920px-Shin-bijutsukai_vol1_0167.jpg,3210,5034,ok,
JPI010,JPI010.jpg,File:Shin-bijutsukai vol1 0170.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0170.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Shin-bijutsukai_vol1_0170.jpg/1920px-Shin-bijutsukai_vol1_0170.jpg,3246,5103,ok,
JPI011,JPI011.jpg,File:Shin-bijutsukai vol1 0171.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0171.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Shin-bijutsukai_vol1_0171.jpg/1920px-Shin-bijutsukai_vol1_0171.jpg,5052,3196,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI012,JPI012.jpg,File:Shin-bijutsukai vol1 0189.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0189.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Shin-bijutsukai_vol1_0189.jpg/1920px-Shin-bijutsukai_vol1_0189.jpg,3214,5055,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI013,JPI013.jpg,File:Shin-bijutsukai vol1 0206.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0206.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Shin-bijutsukai_vol1_0206.jpg/1920px-Shin-bijutsukai_vol1_0206.jpg,3191,5112,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI014,JPI014.jpg,File:Shin-bijutsukai vol1 0233.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0233.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Shin-bijutsukai_vol1_0233.jpg/1920px-Shin-bijutsukai_vol1_0233.jpg,3160,5160,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI015,JPI015.jpg,File:Shin-bijutsukai vol1 0243.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0243.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Shin-bijutsukai_vol1_0243.jpg/1920px-Shin-bijutsukai_vol1_0243.jpg,3142,5118,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI016,JPI016.jpg,File:Shin-bijutsukai vol1 0264.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0264.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Shin-bijutsukai_vol1_0264.jpg/1920px-Shin-bijutsukai_vol1_0264.jpg,3120,5034,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI017,JPI017.jpg,File:Shin-bijutsukai vol1 0274.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0274.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Shin-bijutsukai_vol1_0274.jpg/1920px-Shin-bijutsukai_vol1_0274.jpg,3111,5034,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI018,JPI018.jpg,File:Shin-bijutsukai vol1 0300.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0300.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Shin-bijutsukai_vol1_0300.jpg/1920px-Shin-bijutsukai_vol1_0300.jpg,3111,5022,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI019,JPI019.jpg,File:Shin-bijutsukai vol1 0319.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0319.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Shin-bijutsukai_vol1_0319.jpg/1920px-Shin-bijutsukai_vol1_0319.jpg,3298,5262,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI020,JPI020.jpg,File:Shin-bijutsukai vol1 0335.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol1_0335.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Shin-bijutsukai_vol1_0335.jpg/1920px-Shin-bijutsukai_vol1_0335.jpg,3406,5256,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI021,JPI021.jpg,File:Shin-bijutsukai vol2 0003.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Shin-bijutsukai_vol2_0003.jpg/1920px-Shin-bijutsukai_vol2_0003.jpg,3103,4794,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI022,JPI022.jpg,File:Shin-bijutsukai vol2 0029.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0029.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Shin-bijutsukai_vol2_0029.jpg/1920px-Shin-bijutsukai_vol2_0029.jpg,3025,4776,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI023,JPI023.jpg,File:Shin-bijutsukai vol2 0035.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Shin-bijutsukai_vol2_0035.jpg/1920px-Shin-bijutsukai_vol2_0035.jpg,2967,4740,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI024,JPI024.jpg,File:Shin-bijutsukai vol2 0037.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0037.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Shin-bijutsukai_vol2_0037.jpg/1920px-Shin-bijutsukai_vol2_0037.jpg,2925,4764,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI025,JPI025.jpg,File:Shin-bijutsukai vol2 0045.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0045.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Shin-bijutsukai_vol2_0045.jpg/1920px-Shin-bijutsukai_vol2_0045.jpg,2940,4720,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI026,JPI026.jpg,File:Shin-bijutsukai vol2 0047.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Shin-bijutsukai_vol2_0047.jpg/1920px-Shin-bijutsukai_vol2_0047.jpg,2911,4722,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI027,JPI027.jpg,File:Shin-bijutsukai vol2 0070.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0070.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Shin-bijutsukai_vol2_0070.jpg/1920px-Shin-bijutsukai_vol2_0070.jpg,3180,5034,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
JPI028,JPI028.jpg,File:Shin-bijutsukai vol2 0098.jpg,https://commons.wikimedia.org/wiki/File:Shin-bijutsukai_vol2_0098.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Shin-bijutsukai_vol2_0098.jpg/1920px-Shin-bijutsukai_vol2_0098.jpg,3175,5088,error,"HTTP Error 429: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166)"
