"source","destination","width","height","aspect","saturation","white_fraction","dark_fraction","sha256","status","reason","near_match"
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_01_sheet01_row01.png","candidate_001__sina_01_sheet01_row01.png","676","156","4.3333","0.0","0.8282","0.0476","6bee90d43b75a725ae2e61587f46ad0a1aa0dcd8f68ab46e6adc90c293ea1506","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_02_sheet01_row02.png","candidate_002__sina_02_sheet01_row02.png","648","152","4.2632","0.0","0.8093","0.0622","88447cb945c8df0d86df1d3827b0180cdb720f2ffb53f2e269ff4847fddee476","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_03_sheet01_row03.png","candidate_003__sina_03_sheet01_row03.png","648","166","3.9036","0.0","0.8311","0.0531","18e6b4cd5a1c1a9fad7df1ad4e6ecae66278d2608d2f57088281344d5ac59597","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_04_sheet01_row04.png","candidate_004__sina_04_sheet01_row04.png","676","171","3.9532","0.0","0.8067","0.0641","8b29fd23192de6f0ea4d3857889e5554ba59bbfcf4957943dbb30e8d7f329056","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_05_sheet02_row01.png","candidate_005__sina_05_sheet02_row01.png","611","156","3.9167","0.0","0.7274","0.1069","69f37078a10ece88dde0b07e259817f3e6bf9fbef7ba611469d782ace15e2f81","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_06_sheet02_row02.png","candidate_006__sina_06_sheet02_row02.png","610","161","3.7888","0.0","0.7972","0.0806","79a333a0a43fa14fd2ad2af4a9f86c51a4bcc82d9412b176f859c9a883ab1193","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_07_sheet02_row03.png","candidate_007__sina_07_sheet02_row03.png","676","166","4.0723","0.0","0.8209","0.0608","01a05f408fcbf5449740f1366d2ae23914239afd0ef60dab37824f1785d60cd1","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_08_sheet02_row04.png","candidate_008__sina_08_sheet02_row04.png","676","176","3.8409","0.0","0.8364","0.0546","b3cd5478643c5a40ef6a52f8a04f36f6269ea547f9787e00a9af720a1c7c940d","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_09_sheet03_row01.png","candidate_009__sina_09_sheet03_row01.png","676","146","4.6301","0.0","0.7457","0.0873","4cece0f409029e12c7ce7a9c4f500e4c3154323835b0896bf5b8cf66698c6828","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_10_sheet03_row02.png","candidate_010__sina_10_sheet03_row02.png","676","130","5.2","0.0","0.8172","0.0645","3e8f3b3dbbc323a2dbddeec906d687514fb3f02bf41aecee8370ef828532326e","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_11_sheet03_row03.png","candidate_011__sina_11_sheet03_row03.png","676","141","4.7943","0.0","0.7862","0.0741","09c11ba87b8563d1e30f7bc106dd6431cb4d900323995e5edfa1cc6380e67e92","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_12_sheet03_row04.png","candidate_012__sina_12_sheet03_row04.png","676","135","5.0074","0.0","0.7243","0.1051","19343bab4f9e7bf28c36378a247d55d25314aa02591ece44d734466ef7fe723b","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_13_sheet03_row05.png","candidate_013__sina_13_sheet03_row05.png","676","133","5.0827","0.0","0.7547","0.0899","b841b9f2f46d12866749eb1ac7322842fc414062d375a7e525d1f579326ae9cb","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_14_sheet04_row01.png","candidate_014__sina_14_sheet04_row01.png","676","171","3.9532","0.0","0.786","0.0575","73ef9fe4bfc620e0356d123afe7bce9db657cabec37f352a67817c7a80f8016e","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_15_sheet04_row02.png","candidate_015__sina_15_sheet04_row02.png","676","164","4.122","0.0","0.792","0.0602","ccbd84dd858398ac24035468796043bddb3b15b7cc43ae5f97db05fc1738897a","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_16_sheet04_row03.png","candidate_016__sina_16_sheet04_row03.png","642","171","3.7544","0.0","0.8689","0.045","4eb9c4668674e1ea48579aecceff6975c3392de337417975f13904d4b21aa030","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_17_sheet04_row04.png","candidate_017__sina_17_sheet04_row04.png","643","172","3.7384","0.0","0.8393","0.0544","752d8e998f24e0de4d350479f1ac2b3744d150a9f06eb385a44f004bb70e5d08","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_18_sheet05_row01.png","candidate_018__sina_18_sheet05_row01.png","669","107","6.2523","0.0","0.833","0.0617","96dc94fb47b1a70f9adf0a8e1c3c592c75d90efc51b03cefb8b1c71e21fbaec8","kept_for_visual_review","",""
