"source","destination","width","height","aspect","saturation","white_fraction","dark_fraction","sha256","status","reason","near_match"
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_01_sheet01_row01.png","candidate_001__sina_01_sheet01_row01.png","647","112","5.7768","0.0","0.7873","0.072","68b067f55437ac00eed8b67e41b222931a06903674278b8411e3abce61e230a4","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_02_sheet01_row02.png","candidate_002__sina_02_sheet01_row02.png","648","142","4.5634","0.0","0.7963","0.0669","258bcbe149f2023e164845a5c72dd32f52225f925641e43f930599795e32c370","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_03_sheet01_row03.png","candidate_003__sina_03_sheet01_row03.png","648","117","5.5385","0.0","0.7659","0.073","8655271be236a21fcffdbb31d1b90f9a14c6fadbc5eaf429c37d0841ef50ffc6","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_04_sheet01_row04.png","candidate_004__sina_04_sheet01_row04.png","647","103","6.2816","0.0","0.7147","0.1094","b1748e2ef8e595f2d16a3541c275807918535b0e5ce91bcd0deedc9f8d21c36b","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_05_sheet02_row01.png","candidate_005__sina_05_sheet02_row01.png","611","156","3.9167","0.0","0.7274","0.1069","69f37078a10ece88dde0b07e259817f3e6bf9fbef7ba611469d782ace15e2f81","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_06_sheet02_row02.png","candidate_006__sina_06_sheet02_row02.png","610","123","4.9593","0.0","0.7385","0.104","61e7311ea9fc333d7ec8abc1ffe660c991b69cc2e5463aa14538099c0ab4c7cf","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_07_sheet02_row03.png","candidate_007__sina_07_sheet02_row03.png","610","120","5.0833","0.0","0.7765","0.0919","e5ece31563050320adc9b032ce8e36623ea04f282e079c018bbc6f84f90ec3f8","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_08_sheet02_row04.png","candidate_008__sina_08_sheet02_row04.png","611","112","5.4554","0.0","0.7805","0.0889","85caa3ca7a85092963558003d5a2529865eaf3f45520f16914bd45a7e240dc3c","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_09_sheet03_row01.png","candidate_009__sina_09_sheet03_row01.png","676","112","6.0357","0.0","0.7095","0.1069","e929eb0521c06a091375da2157d6620b488dd95ce7f29f73f958df4e09069af3","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_10_sheet03_row02.png","candidate_010__sina_10_sheet03_row02.png","676","96","7.0417","0.0","0.7874","0.0761","87becec8d37421f0790ca71cf7dff127ae06c7d1ad1c7ec3ad372a40f9c5bd30","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_11_sheet03_row03.png","candidate_011__sina_11_sheet03_row03.png","676","103","6.5631","0.0","0.7458","0.0961","33d17e98c9e45c7677387757a8cab48b7892da0e62797a4f489ca40bf40eb7b0","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_12_sheet03_row04.png","candidate_012__sina_12_sheet03_row04.png","676","130","5.2","0.0","0.7134","0.109","2c1d30fcf914f1f8c7086bd7d4c6052d9c92fca04df210af28e05c6a38564c20","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_13_sheet03_row05.png","candidate_013__sina_13_sheet03_row05.png","676","128","5.2812","0.0","0.745","0.0933","77a19e8a1fd2905d6dc22cd5e5de1559b74737b366f57d453d5612e8d40dbe99","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_14_sheet04_row01.png","candidate_014__sina_14_sheet04_row01.png","676","171","3.9532","0.0","0.786","0.0575","73ef9fe4bfc620e0356d123afe7bce9db657cabec37f352a67817c7a80f8016e","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_15_sheet04_row02.png","candidate_015__sina_15_sheet04_row02.png","643","130","4.9462","0.0","0.7694","0.0755","463955d79dcc5f6fca6e9d0e9eabed8165598876b2bcd402b7910e43c6b7914c","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_16_sheet04_row03.png","candidate_016__sina_16_sheet04_row03.png","642","171","3.7544","0.0","0.8689","0.045","4eb9c4668674e1ea48579aecceff6975c3392de337417975f13904d4b21aa030","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_17_sheet04_row04.png","candidate_017__sina_17_sheet04_row04.png","643","166","3.8735","0.0","0.8342","0.056","9b89d4460e47a79bb66bc99ce68d427c86986df0d5dd6b14c68072a07a163a02","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_18_sheet05_row01.png","candidate_018__sina_18_sheet05_row01.png","669","97","6.8969","0.0","0.8158","0.0677","603169f0010c4361ff16c36435d931d87ff5c503e6eaf1d75965986a0bc1fda2","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_19_sheet05_row02.png","candidate_019__sina_19_sheet05_row02.png","669","89","7.5169","0.0","0.7817","0.0815","c0672fdcf8d0b81565a695402c88bd7afadd3bbdd4483c22c665c1e9073649ec","kept_for_visual_review","",""
