"candidate","status","matched_reference","reason"
"CN05","duplicate","review_candidates_all/Snipaste_2026-07-15_13-18-39.png","同一山茶花设计的高清重裁"
"CN06","duplicate","review_candidates_all/Snipaste_2026-07-15_13-17-22.png","同一杏花边设计"
"CN07","duplicate","review_candidates_all/Snipaste_2026-07-15_13-17-49.png","同一菊花边设计"
"CN14","hold_highres_replacement","batch3/paper-source route","历史图样与batch3同源路线重合，保留原目录但不计新增"
"CN15","hold_highres_replacement","batch3/paper-source route","历史图样与batch3同源路线重合，保留原目录但不计新增"
"CN16","hold_highres_replacement","batch3/paper-source route","历史图样与batch3同源路线重合，保留原目录但不计新增"
"CN17","hold_highres_replacement","batch3/paper-source route","历史图样与batch3同源路线重合，保留原目录但不计新增"
"CN18","duplicate","review_candidates_all/035__strict1_B__B05_thesis_mogao217.png","同一莫高窟217窟果花卷草的高清重裁"
"CN19","duplicate","review_candidates_batch3/A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png","同一图样的更宽重裁"
"CN20","duplicate","review_candidates_all/032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","同一莫高窟196窟卷草，结构匹配0.9749"
"sina_candidate_002","duplicate","CNU005/CN08","同一莲花闭环边饰的不同裁切"
"sina_candidate_003","duplicate","CN05/review_candidates_all","同一山茶花边设计"
"sina_candidate_010","duplicate","review_candidates_all/Snipaste_2026-07-15_13-17-22.png","同一杏花边设计，结构匹配0.9953"
"sina_candidate_011","duplicate","review_candidates_all/Snipaste_2026-07-15_13-17-49.png","同一菊花边设计，结构匹配0.9874"
"sina_candidate_014","duplicate","CNU004/CN04","同一山茶花边设计的带文字裁切"
"sina_candidate_016","duplicate","review_candidates_all/Snipaste_2026-07-15_13-18-39.png","同一山茶花边设计，高SIFT覆盖"
"sina_candidate_017","duplicate","review_candidates_all/Snipaste_2026-07-15_13-18-45.png","同一玫瑰边设计"
"sohu_02_bottom","duplicate","review_candidates_all/Snipaste_2026-07-15_13-18-16.png","同一S形花叶边饰，结构匹配0.8428"
"sohu_05","duplicate","review_candidates_all/099__web_U__A03_dunhuang_mogao201_mid_tang.jpeg","像素级同图，pHash距离0"
