context_id,prototype_id,backbone_variant,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,candidate_pool_count,l1_conflict_node_count,l1_conflict_edge_count,raw_context_file,comparison_sheet,status,upstream_error
proto_sw_1_1__expanded__r1,proto_sw_1_1,expanded,1,100006,4136082249,2786223796,4182263884,3924115413,159,159,3246,raw_contexts/proto_sw_1_1__expanded__r1/context.json,comparison_sheets/proto_sw_1_1__expanded__r1.png,upstream_success,
proto_sw_1_1__expanded__r2,proto_sw_1_1,expanded,2,100010,1350424949,4141860,1989963110,3418144302,156,156,3203,raw_contexts/proto_sw_1_1__expanded__r2/context.json,comparison_sheets/proto_sw_1_1__expanded__r2.png,upstream_success,
proto_sw_1_1__compact__r1,proto_sw_1_1,compact,1,100000,146086172,4157341395,2781254137,4054807205,135,135,2501,raw_contexts/proto_sw_1_1__compact__r1/context.json,comparison_sheets/proto_sw_1_1__compact__r1.png,upstream_success,
proto_sw_1_1__compact__r2,proto_sw_1_1,compact,2,100005,3912030780,3903492495,1160715944,77923809,112,112,1819,raw_contexts/proto_sw_1_1__compact__r2/context.json,comparison_sheets/proto_sw_1_1__compact__r2.png,upstream_success,
proto_sw_1_1__swept__r1,proto_sw_1_1,swept,1,100001,1352492862,115976003,302128940,1466878623,107,107,1205,raw_contexts/proto_sw_1_1__swept__r1/context.json,comparison_sheets/proto_sw_1_1__swept__r1.png,upstream_success,
proto_sw_1_1__swept__r2,proto_sw_1_1,swept,2,100002,597182601,2971350444,1978891010,1570248508,116,116,1744,raw_contexts/proto_sw_1_1__swept__r2/context.json,comparison_sheets/proto_sw_1_1__swept__r2.png,upstream_success,
proto_sw_1_3__expanded__r1,proto_sw_1_3,expanded,1,100001,1352492862,115976003,302128940,1466878623,247,247,10925,raw_contexts/proto_sw_1_3__expanded__r1/context.json,comparison_sheets/proto_sw_1_3__expanded__r1.png,upstream_success,
proto_sw_1_3__expanded__r2,proto_sw_1_3,expanded,2,100003,1160543302,2849337252,1964058663,3521747513,243,243,9710,raw_contexts/proto_sw_1_3__expanded__r2/context.json,comparison_sheets/proto_sw_1_3__expanded__r2.png,upstream_success,
proto_sw_1_3__compact__r1,proto_sw_1_3,compact,1,100000,146086172,4157341395,2781254137,4054807205,390,390,24031,raw_contexts/proto_sw_1_3__compact__r1/context.json,comparison_sheets/proto_sw_1_3__compact__r1.png,upstream_success,
proto_sw_1_3__compact__r2,proto_sw_1_3,compact,2,100006,4136082249,2786223796,4182263884,3924115413,413,413,28678,raw_contexts/proto_sw_1_3__compact__r2/context.json,comparison_sheets/proto_sw_1_3__compact__r2.png,upstream_success,
proto_sw_1_3__swept__r1,proto_sw_1_3,swept,1,100002,597182601,2971350444,1978891010,1570248508,277,277,13713,raw_contexts/proto_sw_1_3__swept__r1/context.json,comparison_sheets/proto_sw_1_3__swept__r1.png,upstream_success,
proto_sw_1_3__swept__r2,proto_sw_1_3,swept,2,100004,1033296627,2761789635,3906224916,1967235406,279,279,13327,raw_contexts/proto_sw_1_3__swept__r2/context.json,comparison_sheets/proto_sw_1_3__swept__r2.png,upstream_success,
