pair_id,prototype_id,backbone_variant,density_level,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,ordinary_l1_count,stage4_candidate_count,stage4_eligible_candidate_count,conflict_graph_node_count,conflict_graph_edge_count,conflict_graph_pair_penalty_count,old_selection_success,h2_selection_success,old_selection_error,h2_selection_error,upstream_failure,upstream_error,old_runtime_seconds,h2_runtime_seconds,evaluation_input_file,old_render_file,h2_render_file,comparison_sheet
B001,proto_sw_1_1,expanded,simple,1,100013,219390906,2870022712,1575422959,4293595923,4,100,76,100,0,279,True,True,,,,,0.0014630000000579457,0.023446400000011636,raw_cases/B001/evaluation_input.json,raw_cases/B001/method_old_triple.png,raw_cases/B001/method_h2_triple.png,comparison_sheets/B001.png
B002,proto_sw_1_1,expanded,simple,2,100016,558462723,1960094281,1160898339,3061177565,4,100,78,100,0,285,True,True,,,,,0.0010621999999784748,0.01044760000002043,raw_cases/B002/evaluation_input.json,raw_cases/B002/method_old_triple.png,raw_cases/B002/method_h2_triple.png,comparison_sheets/B002.png
B003,proto_sw_1_1,expanded,medium,1,100006,4136082249,2786223796,4182263884,3924115413,5,125,61,125,63,390,True,True,,,,,0.0009245999999620835,0.009803900000065369,raw_cases/B003/evaluation_input.json,raw_cases/B003/method_old_triple.png,raw_cases/B003/method_h2_triple.png,comparison_sheets/B003.png
B004,proto_sw_1_1,expanded,medium,2,100010,1350424949,4141860,1989963110,3418144302,5,125,85,125,0,348,True,True,,,,,0.0017739000001029126,0.012971600000014405,raw_cases/B004/evaluation_input.json,raw_cases/B004/method_old_triple.png,raw_cases/B004/method_h2_triple.png,comparison_sheets/B004.png
B005,proto_sw_1_1,expanded,rich,1,100018,2785964167,3712280702,2661861881,1729308045,6,150,105,150,741,1397,True,True,,,,,0.0017036000000416607,0.012633000000050743,raw_cases/B005/evaluation_input.json,raw_cases/B005/method_old_triple.png,raw_cases/B005/method_h2_triple.png,comparison_sheets/B005.png
B006,proto_sw_1_1,expanded,rich,2,100019,1635135101,649554184,898415462,4093121298,6,150,85,150,183,1153,True,True,,,,,0.001446999999984655,0.010066300000062256,raw_cases/B006/evaluation_input.json,raw_cases/B006/method_old_triple.png,raw_cases/B006/method_h2_triple.png,comparison_sheets/B006.png
B007,proto_sw_1_1,compact,simple,1,100000,146086172,4157341395,2781254137,4054807205,4,100,40,100,2,45,True,True,,,,,0.0007361000000400963,0.008306900000093265,raw_cases/B007/evaluation_input.json,raw_cases/B007/method_old_triple.png,raw_cases/B007/method_h2_triple.png,comparison_sheets/B007.png
B008,proto_sw_1_1,compact,simple,2,100008,3149591401,3235655706,399132903,61913350,4,100,40,100,18,74,True,True,,,,,0.0011786000000029162,0.01108119999992141,raw_cases/B008/evaluation_input.json,raw_cases/B008/method_old_triple.png,raw_cases/B008/method_h2_triple.png,comparison_sheets/B008.png
B009,proto_sw_1_1,compact,medium,1,100007,2306796258,3206084945,3756345937,923066240,5,125,73,125,0,1015,True,True,,,,,0.0012195000000474465,0.006246000000032836,raw_cases/B009/evaluation_input.json,raw_cases/B009/method_old_triple.png,raw_cases/B009/method_h2_triple.png,comparison_sheets/B009.png
B010,proto_sw_1_1,compact,medium,2,100025,1338579702,3476052536,3401931970,385995953,5,125,87,125,206,1234,True,True,,,,,0.0020551999999725012,0.002953199999979006,raw_cases/B010/evaluation_input.json,raw_cases/B010/method_old_triple.png,raw_cases/B010/method_h2_triple.png,comparison_sheets/B010.png
B011,proto_sw_1_1,compact,rich,1,100005,3912030780,3903492495,1160715944,77923809,6,150,100,150,185,1209,True,True,,,,,0.001387099999988095,0.0026791999999886684,raw_cases/B011/evaluation_input.json,raw_cases/B011/method_old_triple.png,raw_cases/B011/method_h2_triple.png,comparison_sheets/B011.png
