pair_id,method,source_lane_id,candidate_id,child_curve_id,child_parent_length_ratio,entry_opening_degrees,clearance_margin,child_parent_clearance,parent_child_attachment_error,sibling_clearance
B001,old,selected_l1_004,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004.L2.1,0.49999633095328183,37.38271634151259,0.00035359384625882617,0.020353593846258827,4.149495872915031e-10,0.030366787094852573
B001,old,selected_l1_004,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004.L2.2,0.49999527077270217,44.51199996024002,0.00018991333009268224,0.020189913330092683,5.853013995113709e-10,0.030366787094852573
B001,h2,selected_l1_004,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__selected_l1_004.L2.1,0.4620853006822628,43.13580269741391,0.0017526540794084652,0.021752654079408466,8.877712181001839e-11,
B002,old,selected_l1_004,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004.L2.1,0.4999951133276011,37.382714754796616,0.0001287633992247371,0.020128763399224738,3.4649574877219253e-10,0.02416137012258581
B002,old,selected_l1_004,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-2C__nested_s__context_preferred__sample_0084,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004.L2.2,0.4999955062416272,43.8399991255412,0.0002304418827890932,0.020230441882789094,4.681354230106063e-10,0.02416137012258581
B002,h2,selected_l1_004,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__Y-C__open_c__context_opposed__sample_0081,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004.L2.1,0.46089422122963253,43.135803294102644,0.002329127089371382,0.022329127089371383,4.588125584375263e-10,
B003,old,selected_l1_001,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001__Y-2C__open_asymmetric__context_preferred__sample_0011,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001.L2.1,0.4610758943665016,48.07407413258133,0.001408573664426517,0.021408573664426517,2.3710683615594415e-10,0.03393181516431983
B003,old,selected_l1_001,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001__Y-2C__open_asymmetric__context_preferred__sample_0011,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_001.L2.2,0.49999615470971254,42.72000173020867,1.5489242242452267e-05,0.020015489242242453,5.234580120357018e-10,0.03393181516431983
B003,h2,selected_l1_003,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_003__Y-C__open_c__context_preferred__sample_0055,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__selected_l1_003.L2.1,0.4624086781927317,48.27160482070637,0.0017290277687278012,0.0217290277687278,2.816785668968224e-10,
B004,old,selected_l1_005,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005__Y-2C__nested_s__context_preferred__sample_0109,proto_sw_1_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005.L2.1,0.49999532770609345,45.563785647408494,0.00031218840095611003,0.02031218840095611,2.83091567384699e-10,0.05178251619322931
