pair_id,prototype_id,backbone_variant,density_level,replicate,production_seed,minimum_clearance_required,parallel_soft_limit,parallel_maximum,old_geometry_evaluable,h2_geometry_evaluable,evaluation_error,old_cross_unit_curve_crossing_count,h2_cross_unit_curve_crossing_count,old_periodic_repeat_crossing_count,h2_periodic_repeat_crossing_count,old_minimum_cross_unit_clearance,h2_minimum_cross_unit_clearance,old_clearance_violation_count,h2_clearance_violation_count,old_parallel_hard_violation_count,h2_parallel_hard_violation_count,old_parent_child_attachment_invalid_count,h2_parent_child_attachment_invalid_count,old_hard_violation,h2_hard_violation,old_total_parallel_penalty,h2_total_parallel_penalty,delta_total,relative_total_penalty_reduction,old_peak_parallel_penalty,h2_peak_parallel_penalty,delta_peak,relative_peak_penalty_reduction,old_local_crowding_pair_count,h2_local_crowding_pair_count,old_spatial_bbox_overlap_tendency,h2_spatial_bbox_overlap_tendency,old_occupied_space_balance,h2_occupied_space_balance,old_upgraded_lane_count,h2_upgraded_lane_count,old_selected_L2_count,h2_selected_L2_count,old_L1_only_count,h2_L1_only_count,old_single_L2_unit_count,h2_single_L2_unit_count,old_opposed_pair_unit_count,h2_opposed_pair_unit_count,old_search_node_count,h2_search_node_count,old_backtrack_count,h2_backtrack_count,h2_node_limit_reached,old_runtime_seconds,h2_runtime_seconds
B001,proto_sw_1_1,expanded,simple,1,100013,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.13025855419383658,0.13025855419383658,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.5751186158142371,0.8809754836894631,1,1,2,1,3,3,0,1,1,0,,187,,51,,0.0014630000000579457,0.023446400000011636
B002,proto_sw_1_1,expanded,simple,2,100016,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.2299465213980741,0.2299465213980741,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.5543252292912784,0.8907645721036213,1,1,2,1,3,3,0,1,1,0,,249,,61,,0.0010621999999784748,0.01044760000002043
B003,proto_sw_1_1,expanded,medium,1,100006,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.11987486165209461,0.12410516624979502,0,0,0,0,0,0,False,False,0.4325670114923452,0.0,-0.4325670114923452,1.0,0.3339062569187674,0.0,-0.3339062569187674,1.0,0,0,0.0,0.0,0.999446279958645,0.9975382660532114,1,1,2,1,4,4,0,1,1,0,,191,,60,,0.0009245999999620835,0.009803900000065369
B004,proto_sw_1_1,expanded,medium,2,100010,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.14860873469071043,0.14860873469071043,0,0,0,0,0,0,False,False,0.0,0.001644832048468497,0.001644832048468497,,0.0,0.001644832048468497,0.001644832048468497,,0,0,0.0,0.0,0.6579947112763248,0.9527873245461874,1,1,2,1,4,4,0,1,1,0,,270,,94,,0.0017739000001029126,0.012971600000014405
B005,proto_sw_1_1,expanded,rich,1,100018,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.03107526214622732,0.05046528696336143,0,0,0,0,0,0,False,False,0.09497012247193859,0.0,-0.09497012247193859,1.0,0.09497012247193859,0.0,-0.09497012247193859,1.0,1,0,0.26921025039896285,0.16856140673172212,0.8623485954527439,0.822718154732704,1,1,2,1,5,5,0,1,1,0,,429,,85,,0.0017036000000416607,0.012633000000050743
B006,proto_sw_1_1,expanded,rich,2,100019,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.06509633687220658,0.06509633687220658,0,0,0,0,0,0,False,False,0.0013691750580857463,0.0,-0.0013691750580857463,1.0,0.0013691750580857463,0.0,-0.0013691750580857463,1.0,0,0,0.0,0.0,0.9997768706077413,0.9896855046501496,1,1,1,1,5,5,1,1,0,0,,429,,92,,0.001446999999984655,0.010066300000062256
B007,proto_sw_1_1,compact,simple,1,100000,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.053385879024660396,0.053385879024660396,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.9591479170272448,0.8907645721036213,1,1,2,1,3,3,0,1,1,0,,111,,23,,0.0007361000000400963,0.008306900000093265
B008,proto_sw_1_1,compact,simple,2,100008,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.05431857909514021,0.05431857909514021,0,0,0,0,0,0,False,False,0.021621822990251487,0.0,-0.021621822990251487,1.0,0.021621822990251487,0.0,-0.021621822990251487,1.0,0,0,0.0,0.0,0.998486878435884,0.7822457275345467,1,1,2,1,3,3,0,1,1,0,,40,,8,,0.0011786000000029162,0.01108119999992141
B009,proto_sw_1_1,compact,medium,1,100007,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.06032748671880861,0.06032748671880861,0,0,0,0,0,0,False,False,0.4788401373560901,0.0,-0.4788401373560901,1.0,0.39084126524653034,0.0,-0.39084126524653034,1.0,0,0,0.0,0.0,0.8676017211267677,0.8967157638335889,2,2,4,2,3,3,0,2,2,0,,1040,,608,,0.0012195000000474465,0.006246000000032836
B010,proto_sw_1_1,compact,medium,2,100025,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.02845327962953569,0.05329910184235498,0,0,0,0,0,0,False,False,0.8167235419269729,0.0,-0.8167235419269729,1.0,0.6204190777530489,0.0,-0.6204190777530489,1.0,1,0,0.0,0.0,0.9972862535048975,0.843578969884576,2,2,4,2,3,3,0,2,2,0,,580,,150,,0.0020551999999725012,0.002953199999979006
B011,proto_sw_1_1,compact,rich,1,100005,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.03582121118648592,0.03582121118648592,0,0,0,0,0,0,False,False,0.06539669713322761,0.0,-0.06539669713322761,1.0,0.06539669713322761,0.0,-0.06539669713322761,1.0,1,1,0.0,0.0,0.8126312026117116,0.822718154732704,1,1,2,1,5,5,0,1,1,0,,292,,85,,0.001387099999988095,0.0026791999999886684
B012,proto_sw_1_1,compact,rich,2,100014,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.05116224793693552,0.05116224793693552,0,0,0,0,0,0,False,False,0.08163606116771428,0.0,-0.08163606116771428,1.0,0.06304842940683217,0.0,-0.06304842940683217,1.0,0,0,0.0,0.0,0.9734357005380974,0.9000423722706047,2,2,4,2,4,4,0,2,2,0,,478,,214,,0.00195979999989504,0.004134600000043065
B013,proto_sw_1_1,swept,simple,1,100003,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.11922035008233452,0.14334965008331177,0,0,0,0,0,0,False,False,0.00448409610975674,0.0,-0.00448409610975674,1.0,0.00448409610975674,0.0,-0.00448409610975674,1.0,0,0,0.0,0.0,0.9998319799234247,0.8809754836894631,1,1,2,1,3,3,0,1,1,0,,184,,81,,0.001468000000045322,0.0031516999999894324
B014,proto_sw_1_1,swept,simple,2,100012,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.15345303206049216,0.15345303206049216,0,0,0,0,0,0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,0.0,0.7240641093947621,0.7155374817170789,1,1,2,1,3,3,0,1,1,0,,137,,52,,0.001203799999984767,0.0029523999999128137
B015,proto_sw_1_1,swept,medium,1,100004,0.027768053,0.010397705,0.494948499,True,True,,0,0,0,0,0.11466219524188145,0.1597232823382424,0,0,0,0,0,0,False,False,0.4969326307294756,0.0,-0.4969326307294756,1.0,0.2556428605262651,0.0,-0.2556428605262651,1.0,0,0,0.0,0.0,0.9998447428423174,0.9745836939505627,2,2,4,2,4,4,0,2,2,0,,406,,240,,0.001988600000004226,0.0030159000000367087
